timeslot;time of day;heatGenerationCoefficientSpaceHeating;temperatureBufferStorage;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);numberOfStarts_HP;HP_isRunning
1;00:00;0.21;21.75;0.0;0.0;6581.96;-6581.96;-4.94;12482.6;3467.4;0.0;-2.0;-1.5;4.08;0.0;0.0
2;00:30;0.2;21.79;0.0;0.0;5251.78;-5251.78;-3.94;8303.2;2251.8;0.0;-2.0;-1.5;4.08;0.0;0.0
3;01:00;0.2;21.85;0.0;0.0;4495.73;-4495.73;-8.32;7275.2;1495.7;0.0;-2.05;-3.7;4.07;0.0;0.0
4;01:30;0.2;21.88;0.0;0.0;4230.9;-4230.9;-7.83;9616.0;1230.9;0.0;-2.15;-3.7;4.05;0.0;0.0
5;02:00;0.76;22.29;0.0;0.0;12535.91;-12535.91;-35.73;11362.3;1152.9;0.0;-2.3;-5.7;4.03;0.0;0.0
6;02:30;0.21;22.29;0.0;0.0;4456.59;-4456.59;-12.7;12473.1;1274.6;0.0;-2.5;-5.7;3.99;0.0;0.0
7;03:00;0.29;22.33;0.0;0.0;5665.85;-5665.85;-18.98;13571.4;1304.5;0.0;-2.72;-6.7;3.95;0.0;0.0
8;03:30;0.25;22.33;0.0;0.0;5046.78;-5046.78;-16.91;14656.3;1236.2;0.0;-2.97;-6.7;3.91;0.0;0.0
9;04:00;0.26;22.33;0.0;0.0;5160.89;-5160.89;-14.71;14757.4;1275.3;0.0;-3.24;-5.7;3.86;0.0;0.0
10;04:30;0.25;22.33;0.0;0.0;5119.96;-5119.96;-14.59;13807.0;1429.2;0.0;-3.54;-5.7;3.8;0.0;0.0
11;05:00;0.26;22.33;0.0;0.0;5392.99;-5392.99;-6.2;14321.2;1520.8;0.0;-3.8;-2.3;3.76;0.0;0.0
12;05:30;0.3;22.33;0.0;0.0;6014.6;-6014.6;-6.92;16401.1;1545.9;0.0;-4.0;-2.3;3.72;0.0;0.0
13;06:00;0.69;22.55;0.0;0.0;12351.26;-12351.26;-164.27;18566.2;2015.4;0.05;-4.27;-26.6;3.67;0.0;0.0
14;06:30;0.39;22.55;0.0;0.0;8792.42;-8792.42;-116.94;20822.4;2959.8;0.05;-4.62;-26.6;3.61;0.0;0.0
15;07:00;0.57;22.61;0.0;0.0;12347.92;-12347.92;-114.22;25105.3;3823.6;0.11;-4.87;-18.5;3.56;0.0;0.0
16;07:30;0.6;22.61;0.0;0.0;13588.77;-13588.77;-125.7;31554.7;4601.2;0.11;-5.02;-18.5;3.54;0.0;0.0
17;08:00;0.7;22.61;0.0;0.0;15408.74;-15408.74;-65.49;36256.9;4920.9;0.11;-5.34;-8.5;3.48;0.0;0.0
18;08:30;0.77;22.61;0.0;0.0;16354.13;-16354.13;-69.51;39091.4;4751.2;0.11;-5.84;-8.5;3.39;0.0;0.0
19;09:00;0.8;22.61;0.0;0.0;16684.55;-16684.55;-0.83;40182.3;4640.8;0.11;-6.03;-0.1;3.36;0.0;0.0
20;09:30;0.78;22.61;0.0;0.0;16312.83;-16312.83;-0.82;39409.3;4593.8;0.11;-5.88;-0.1;3.38;0.0;0.0
21;10:00;0.71;22.61;0.0;0.0;14555.3;-14555.3;29.11;36329.9;3886.8;0.11;-5.63;4.0;3.43;0.0;0.0
22;10:30;0.59;22.61;0.0;0.0;11361.22;-11361.22;22.72;30785.1;2474.4;0.11;-5.28;4.0;3.49;0.0;0.0
23;11:00;0.0;22.27;0.0;0.0;1996.54;-1996.54;8.29;28661.4;1996.5;0.0;-4.98;8.3;3.54;0.0;0.0
24;11:30;0.57;22.27;0.0;0.0;10994.12;-10994.12;45.63;30194.8;2517.7;0.0;-4.73;8.3;3.59;0.0;0.0
25;12:00;0.54;22.27;0.0;0.0;11779.16;-11779.16;41.82;29014.3;3693.8;0.0;-4.58;7.1;3.62;0.0;0.0
26;12:30;0.46;22.27;0.0;0.0;12509.61;-12509.61;44.41;24932.8;5570.2;0.0;-4.53;7.1;3.63;0.0;0.0
27;13:00;0.45;22.27;0.0;0.0;12764.89;-12764.89;-10.85;24360.9;6008.1;0.0;-4.45;-1.7;3.64;0.0;0.0
28;13:30;0.51;22.27;0.0;0.0;12501.48;-12501.48;-10.63;27540.5;4908.4;0.0;-4.35;-1.7;3.66;0.0;0.0
29;14:00;0.55;22.27;0.0;0.0;12371.91;-12371.91;-10.52;29986.7;4150.4;0.0;-4.25;-1.7;3.67;0.0;0.0
30;14:30;0.58;22.27;0.0;0.0;12389.1;-12389.1;-10.53;31648.9;3757.5;0.0;-4.15;-1.7;3.69;0.0;0.0
31;15:00;0.59;22.27;0.0;0.0;12584.63;-12584.63;-21.39;32807.9;3672.1;0.0;-4.08;-3.4;3.71;0.0;0.0
32;15:30;0.6;22.27;0.0;0.0;12973.51;-12973.51;-22.05;33428.9;3915.4;0.0;-4.03;-3.4;3.72;0.0;0.0
33;16:00;0.58;22.27;0.0;0.0;12835.31;-12835.31;-6.42;32162.5;4149.3;0.0;-3.95;-1.0;3.73;0.0;0.0
34;16:30;0.52;22.27;0.0;0.0;12140.8;-12140.8;-6.07;28878.7;4373.0;0.0;-3.85;-1.0;3.75;0.0;0.0
35;17:00;0.49;22.27;0.0;0.0;11804.57;-11804.57;70.24;27260.1;4486.9;0.0;-3.8;11.9;3.76;0.0;0.0
36;17:30;0.49;22.27;0.0;0.0;11844.17;-11844.17;70.47;27421.8;4483.5;0.0;-3.8;11.9;3.76;0.0;0.0
37;18:00;0.38;22.19;0.0;0.0;10493.89;-10493.89;51.42;28393.7;4750.0;0.0;-3.87;9.8;3.74;0.0;0.0
38;18:30;0.55;22.19;0.0;0.0;13501.36;-13501.36;66.16;30231.7;5305.2;0.0;-4.02;9.8;3.72;0.0;0.0
39;19:00;0.54;22.19;0.0;0.0;13578.63;-13578.63;90.3;30061.0;5473.8;0.0;-3.91;13.3;3.74;0.0;0.0
40;19:30;0.0;21.85;0.0;0.0;5229.37;-5229.37;34.78;27743.2;5229.4;0.0;-3.51;13.3;3.81;0.0;0.0
41;20:00;0.45;21.85;0.0;0.0;11472.17;-11472.17;45.89;26182.7;4697.8;0.0;-3.01;8.0;3.9;0.0;0.0
42;20:30;0.43;21.85;0.0;0.0;10263.69;-10263.69;41.05;25431.8;3859.4;0.0;-2.41;8.0;4.01;0.0;0.0
43;21:00;0.39;21.85;0.0;0.0;9858.85;-9858.85;37.96;23710.2;4028.8;0.0;-1.86;7.7;4.11;0.0;0.0
44;21:30;0.34;21.85;0.0;0.0;10322.86;-10322.86;39.74;20951.0;5275.5;0.0;-1.36;7.7;4.2;0.0;0.0
45;22:00;0.28;21.85;0.0;0.0;10544.87;-10544.87;45.34;17966.0;6278.4;0.0;-0.98;8.6;4.26;0.0;0.0
46;22:30;0.23;21.85;0.0;0.0;10493.76;-10493.76;45.12;14739.7;7020.7;0.0;-0.73;8.6;4.31;0.0;0.0
47;23:00;0.2;21.86;0.0;0.0;8930.3;-8930.3;-16.07;12591.8;5930.3;0.0;-0.48;-3.6;4.35;0.0;0.0
48;23:30;0.2;21.87;0.0;0.0;5880.94;-5880.94;-10.59;11596.5;2880.9;0.0;-0.23;-3.6;4.4;0.0;0.0
