timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;0.2;21.56;133.42;0.0;0.0;733.26;-733.26;3.67;2412.9;0.0;133.3;0.0;-1.1;10.0;4.24;1.54;0.0;0.0
2;00:30;0.0;0.0;21.36;132.99;0.0;0.0;133.26;-133.26;0.67;2582.7;0.0;133.3;0.14;-1.1;10.0;4.24;1.54;0.0;0.0
3;01:00;1.0;0.0;22.12;132.56;0.0;0.0;3133.26;-3133.26;18.64;2737.0;0.0;133.3;0.0;-1.1;11.9;4.24;1.54;0.0;0.0
4;01:30;0.2;0.0;22.09;132.13;0.0;0.0;733.26;-733.26;4.36;2874.7;0.0;133.3;0.0;-1.1;11.9;4.24;1.54;0.0;0.0
5;02:00;0.2;0.0;22.05;131.7;0.0;0.0;733.26;-733.26;3.52;3005.4;0.0;133.3;0.0;-1.15;9.6;4.23;1.53;0.0;0.0
6;02:30;0.2;0.0;22.0;131.27;0.0;0.0;733.26;-733.26;3.52;3128.4;0.0;133.3;0.0;-1.25;9.6;4.22;1.52;0.0;0.0
7;03:00;0.75;0.0;22.48;130.84;0.0;0.0;2383.26;-2383.26;9.29;3234.2;0.0;133.3;0.0;-1.28;7.8;4.21;1.51;0.0;0.0
8;03:30;0.83;0.0;23.02;130.41;0.0;0.0;2611.12;-2611.12;10.18;3321.4;0.0;133.3;0.52;-1.23;7.8;4.22;1.52;0.0;0.0
9;04:00;0.59;0.0;23.33;129.98;0.0;0.0;1917.97;-1917.97;8.34;3397.6;0.0;143.8;0.83;-1.18;8.7;4.23;1.53;0.0;0.0
10;04:30;0.28;0.0;23.33;129.55;0.0;0.0;993.22;-993.22;4.32;3461.9;0.0;165.6;0.83;-1.13;8.7;4.24;1.54;0.0;0.0
