timeslot;time of day;heatGenerationCoefficientSpaceHeating;temperatureBufferStorage;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);numberOfStarts_HP;HP_isRunning
1;00:00;0.2;21.78;0.0;0.0;4644.15;-4644.15;23.22;10324.8;1644.2;0.0;-1.1;10.0;4.24;0.0;0.0
2;00:30;0.2;21.78;0.0;0.0;4572.02;-4572.02;22.86;12675.3;1530.9;0.0;-1.1;10.0;4.24;0.0;0.0
3;01:00;0.22;21.78;0.0;0.0;4658.72;-4658.72;27.72;13610.8;1397.1;0.0;-1.1;11.9;4.24;0.0;0.0
4;01:30;0.21;21.78;0.0;0.0;4366.81;-4366.81;25.98;13033.5;1241.3;0.0;-1.1;11.9;4.24;0.0;0.0
5;02:00;0.2;21.78;0.0;0.0;4339.63;-4339.63;20.83;12683.8;1290.3;0.0;-1.15;9.6;4.23;0.0;0.0
6;02:30;0.2;21.78;0.0;0.0;4595.35;-4595.35;22.06;12577.5;1558.2;0.0;-1.25;9.6;4.22;0.0;0.0
7;03:00;1.0;22.36;0.0;0.0;16849.52;-16849.52;65.71;13554.7;1849.5;0.0;-1.28;7.8;4.21;0.0;0.0
8;03:30;1.0;22.93;0.0;0.0;17165.88;-17165.88;66.95;15690.2;2165.9;0.43;-1.23;7.8;4.22;0.0;0.0
9;04:00;0.6;23.17;0.0;0.0;12346.93;-12346.93;53.71;17259.1;3412.0;0.67;-1.18;8.7;4.23;0.0;0.0
10;04:30;0.61;23.41;0.0;0.0;14805.45;-14805.45;64.4;18222.5;5651.9;0.91;-1.13;8.7;4.24;0.0;0.0
11;05:00;0.0;23.17;0.0;0.0;6538.51;-6538.51;29.42;20384.5;6538.5;0.67;-1.05;9.0;4.25;0.0;0.0
12;05:30;0.91;23.57;0.0;0.0;19563.17;-19563.17;88.03;23828.0;5978.4;1.07;-0.95;9.0;4.27;0.0;0.0
13;06:00;0.45;23.57;0.0;0.0;11832.37;-11832.37;109.45;28449.4;5136.4;1.07;-0.88;18.5;4.28;0.0;0.0
14;06:30;0.54;23.57;0.0;0.0;12045.26;-12045.26;111.42;34330.0;3993.0;1.07;-0.83;18.5;4.29;0.0;0.0
15;07:00;0.0;23.15;0.0;0.0;3408.78;-3408.78;55.56;34924.5;3408.8;0.65;-0.8;32.6;4.3;0.0;0.0
16;07:30;0.0;22.79;0.0;0.0;3422.27;-3422.27;55.78;29868.4;3422.3;0.29;-0.8;32.6;4.3;0.0;0.0
17;08:00;0.44;22.79;0.0;0.0;9989.7;-9989.7;141.85;28132.7;3395.4;0.29;-0.78;28.4;4.3;0.0;0.0
18;08:30;0.47;22.79;0.0;0.0;10326.83;-10326.83;146.64;29946.3;3325.5;0.29;-0.73;28.4;4.31;0.0;0.0
19;09:00;0.45;22.79;0.0;0.0;10139.97;-10139.97;135.37;29042.3;3362.5;0.29;-0.68;26.7;4.32;0.0;0.0
20;09:30;0.39;22.79;0.0;0.0;9397.18;-9397.18;125.45;25233.3;3514.0;0.29;-0.63;26.7;4.33;0.0;0.0
21;10:00;0.37;22.79;0.0;0.0;9161.58;-9161.58;123.22;24076.2;3557.5;0.29;-0.58;26.9;4.34;0.0;0.0
22;10:30;0.4;22.79;0.0;0.0;9464.01;-9464.01;127.29;25753.9;3485.4;0.29;-0.53;26.9;4.35;0.0;0.0
23;11:00;0.0;22.49;0.0;0.0;3775.02;-3775.02;56.81;24949.5;3775.0;0.0;-0.5;30.1;4.35;0.0;0.0
24;11:30;0.0;22.24;0.0;0.0;4451.14;-4451.14;66.99;21491.7;4451.1;0.0;-0.5;30.1;4.35;0.0;0.0
