timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.38;0.0;21.94;124.57;0.0;0.0;1467.08;-1467.08;-1.1;2169.1;0.0;325.9;0.0;-2.0;-1.5;4.08;1.38;0.0;0.0
2;00:30;1.0;0.0;22.72;124.14;0.0;0.0;3184.1;-3184.1;-2.39;1928.6;0.0;184.1;0.22;-2.0;-1.5;4.08;1.38;0.0;0.0
3;01:00;0.0;0.2;22.58;131.58;0.0;0.0;713.37;-713.37;-1.32;1836.5;0.0;113.4;0.08;-2.05;-3.7;4.07;1.37;0.0;0.0
4;01:30;0.0;0.2;22.43;138.92;0.0;0.0;715.84;-715.84;-1.32;1949.3;0.0;115.8;0.0;-2.15;-3.7;4.05;1.35;0.0;0.0
5;02:00;0.0;0.2;22.26;146.1;0.0;0.0;715.21;-715.21;-2.04;2138.8;0.0;115.2;0.0;-2.3;-5.7;4.03;1.33;0.0;0.0
6;02:30;0.0;0.2;22.06;153.08;0.0;0.0;712.31;-712.31;-2.03;2494.7;0.0;112.3;0.0;-2.5;-5.7;3.99;1.29;0.0;0.0
7;03:00;0.0;1.0;21.84;188.53;0.0;0.0;3115.3;-3115.3;-10.44;2855.8;0.0;115.3;0.0;-2.72;-6.7;3.95;1.25;0.0;0.0
8;03:30;1.0;0.0;22.48;188.1;0.0;0.0;3125.52;-3125.52;-10.47;3324.6;0.0;125.5;0.0;-2.97;-6.7;3.91;1.21;0.0;0.0
9;04:00;0.0;1.0;22.2;220.85;0.0;0.0;3141.83;-3141.83;-8.95;3584.7;0.0;141.8;0.0;-3.24;-5.7;3.86;1.16;0.0;0.0
10;04:30;1.0;0.0;22.8;220.42;0.0;0.0;3157.48;-3157.48;-9.0;3565.8;0.0;157.5;0.3;-3.54;-5.7;3.8;1.1;0.0;0.0
11;05:00;0.32;0.0;22.8;219.99;0.0;0.0;1275.73;-1275.73;-1.47;3544.2;0.0;320.2;0.3;-3.8;-2.3;3.76;1.06;0.0;0.0
12;05:30;0.31;0.0;22.8;219.56;0.0;0.0;1587.77;-1587.77;-1.83;3461.9;0.0;645.2;0.3;-4.0;-2.3;3.72;1.02;0.0;0.0
13;06:00;0.34;0.0;22.8;219.13;0.0;0.0;1934.44;-1934.44;-25.73;3747.0;0.0;901.5;0.3;-4.27;-26.6;3.67;1.0;0.0;0.0
14;06:30;0.41;0.0;22.8;218.7;0.0;0.0;2318.52;-2318.52;-30.84;4376.0;0.0;1093.3;0.3;-4.62;-26.6;3.61;1.0;0.0;0.0
15;07:00;0.25;0.0;22.63;208.66;0.0;0.0;1773.22;-1773.22;-16.4;4784.5;1003.9;1035.5;0.13;-4.87;-18.5;3.56;1.0;0.0;0.0
16;07:30;0.2;0.0;22.42;208.23;0.0;0.0;1300.37;-1300.37;-12.03;4905.0;0.0;700.4;0.0;-5.02;-18.5;3.54;1.0;0.0;0.0
17;08:00;1.0;0.0;22.8;207.8;0.0;0.0;3475.57;-3475.57;-14.77;5360.5;0.0;475.6;0.3;-5.34;-8.5;3.48;1.0;0.0;0.0
18;08:30;0.2;0.0;22.49;207.37;0.0;0.0;1000.01;-1000.01;-4.25;6061.7;0.0;400.0;0.0;-5.84;-8.5;3.39;1.0;0.0;0.0
