timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;0.0;21.6;124.57;0.0;0.0;129.65;-129.65;0.65;1923.8;0.0;129.7;0.0;-1.1;10.0;4.24;1.54;0.0;0.0
2;00:30;0.0;0.0;21.43;124.14;0.0;0.0;121.99;-121.99;0.61;2199.8;0.0;122.0;0.07;-1.1;10.0;4.24;1.54;0.0;0.0
3;01:00;0.0;0.0;21.24;123.71;0.0;0.0;123.45;-123.45;0.73;2397.3;0.0;123.5;0.26;-1.1;11.9;4.24;1.54;0.0;0.0
4;01:30;0.2;0.0;21.24;123.28;0.0;0.0;734.97;-734.97;4.37;2515.4;0.0;135.0;0.26;-1.1;11.9;4.24;1.54;0.0;0.0
5;02:00;1.0;0.0;22.0;122.85;0.0;0.0;3134.22;-3134.22;15.04;2701.7;0.0;134.2;0.0;-1.15;9.6;4.23;1.53;0.0;0.0
6;02:30;0.32;0.0;22.08;122.42;0.0;0.0;1088.69;-1088.69;5.23;2911.7;0.0;127.5;0.0;-1.25;9.6;4.22;1.52;0.0;0.0
7;03:00;0.2;0.0;22.05;121.99;0.0;0.0;718.29;-718.29;2.8;2917.1;0.0;118.3;0.0;-1.28;7.8;4.21;1.51;0.0;0.0
8;03:30;1.0;0.0;22.8;121.56;0.0;0.0;3106.75;-3106.75;12.12;2834.8;0.0;106.8;0.3;-1.23;7.8;4.22;1.52;0.0;0.0
9;04:00;0.0;0.85;22.57;158.31;0.0;0.0;2646.62;-2646.62;11.51;2975.5;0.0;103.2;0.07;-1.18;8.7;4.23;1.53;0.0;0.0
10;04:30;0.0;1.0;22.31;202.01;0.0;0.0;3106.83;-3106.83;13.51;3369.1;0.0;106.8;0.0;-1.13;8.7;4.24;1.54;0.0;0.0
11;05:00;0.0;1.0;22.04;246.08;0.0;0.0;3117.03;-3117.03;14.03;3455.2;0.0;117.0;0.0;-1.05;9.0;4.25;1.55;0.0;0.0
12;05:30;1.0;0.0;22.78;245.65;0.0;0.0;3131.92;-3131.92;14.09;3051.6;0.0;131.9;0.28;-0.95;9.0;4.27;1.57;0.0;0.0
13;06:00;0.2;0.0;22.74;245.22;0.0;0.0;1074.07;-1074.07;9.94;3093.4;0.0;474.1;0.24;-0.88;18.5;4.28;1.58;0.0;0.0
14;06:30;0.34;0.0;22.8;244.79;0.0;0.0;2197.41;-2197.41;20.33;3558.9;0.0;1172.6;0.3;-0.83;18.5;4.29;1.59;0.0;0.0
15;07:00;0.0;0.0;22.47;242.58;0.0;0.0;1489.02;-1489.02;24.27;4223.8;186.7;1489.0;0.0;-0.8;32.6;4.3;1.6;0.0;0.0
16;07:30;0.0;0.0;22.08;157.75;0.0;0.0;1404.21;-1404.21;22.89;5070.9;8821.1;1404.2;0.0;-0.8;32.6;4.3;1.6;0.0;0.0
17;08:00;0.0;0.0;21.68;157.32;0.0;0.0;1147.66;-1147.66;16.3;5253.7;0.0;1147.7;0.0;-0.78;28.4;4.3;1.6;0.0;0.0
18;08:30;0.0;0.0;21.3;156.89;0.0;0.0;699.77;-699.77;9.94;4912.1;0.0;699.8;0.2;-0.73;28.4;4.31;1.61;0.0;0.0
19;09:00;1.0;0.0;21.91;156.46;0.0;0.0;3454.95;-3454.95;46.12;4945.3;0.0;455.0;0.0;-0.68;26.7;4.32;1.62;0.0;0.0
20;09:30;1.0;0.0;22.48;156.03;0.0;0.0;3436.76;-3436.76;45.88;5481.1;0.0;436.8;0.0;-0.63;26.7;4.33;1.63;0.0;0.0
21;10:00;0.76;0.0;22.8;155.6;0.0;0.0;2887.35;-2887.35;38.83;5673.4;0.0;595.7;0.3;-0.58;26.9;4.34;1.64;0.0;0.0
22;10:30;0.3;0.0;22.68;155.17;0.0;0.0;1825.32;-1825.32;24.55;5388.3;0.0;932.5;0.18;-0.53;26.9;4.35;1.65;0.0;0.0
23;11:00;0.0;0.0;22.28;154.74;0.0;0.0;944.72;-944.72;14.22;5232.7;0.0;944.7;0.0;-0.5;30.1;4.35;1.65;0.0;0.0
24;11:30;0.0;0.0;21.9;114.6;0.0;0.0;669.82;-669.82;10.08;4879.7;4150.6;669.8;0.0;-0.5;30.1;4.35;1.65;0.0;0.0
25;12:00;0.0;0.0;21.57;113.47;0.0;0.0;924.11;-924.11;13.63;4308.9;72.8;924.1;0.0;-0.52;29.5;4.35;1.65;0.0;0.0
26;12:30;0.0;0.0;21.28;109.99;0.0;0.0;1704.85;-1704.85;25.15;3767.2;319.1;1704.8;0.22;-0.57;29.5;4.34;1.64;0.0;0.0
27;13:00;0.2;0.0;21.2;109.56;0.0;0.0;2325.85;-2325.85;33.03;3533.2;0.0;1725.8;0.3;-0.65;28.4;4.32;1.62;0.0;0.0
28;13:30;1.0;0.0;21.9;109.13;0.0;0.0;3863.28;-3863.28;54.86;3713.8;0.0;863.3;0.0;-0.75;28.4;4.31;1.61;0.0;0.0
29;14:00;1.0;0.0;22.58;108.7;0.0;0.0;3536.18;-3536.18;48.8;3882.3;0.0;536.2;0.08;-0.85;27.6;4.29;1.59;0.0;0.0
30;14:30;0.2;0.0;22.47;108.27;0.0;0.0;1385.99;-1385.99;19.13;4030.8;0.0;786.0;0.0;-0.95;27.6;4.27;1.57;0.0;0.0
31;15:00;0.2;0.0;22.33;107.84;0.0;0.0;1509.65;-1509.65;21.06;4345.3;0.0;909.6;0.0;-0.98;27.9;4.26;1.56;0.0;0.0
32;15:30;0.28;0.0;22.22;107.41;0.0;0.0;1729.13;-1729.13;24.12;4898.5;0.0;898.7;0.0;-0.93;27.9;4.27;1.57;0.0;0.0
33;16:00;1.0;0.0;22.8;106.98;0.0;0.0;3723.65;-3723.65;53.06;5207.7;0.0;723.7;0.3;-0.95;28.5;4.27;1.57;0.0;0.0
34;16:30;0.41;0.0;22.8;106.55;0.0;0.0;1632.57;-1632.57;23.26;5181.8;0.0;403.2;0.3;-1.05;28.5;4.25;1.55;0.0;0.0
35;17:00;0.0;0.0;22.43;106.12;0.0;0.0;468.96;-468.96;7.48;4823.7;0.0;469.0;0.0;-1.15;31.9;4.23;1.53;0.0;0.0
36;17:30;0.0;0.0;22.11;105.69;0.0;0.0;941.78;-941.78;15.02;4072.5;0.0;941.8;0.0;-1.25;31.9;4.22;1.52;0.0;0.0
37;18:00;0.0;0.0;21.82;105.25;0.0;0.0;1054.05;-1054.05;16.44;3722.0;0.0;1054.1;0.0;-1.32;31.2;4.2;1.5;0.0;0.0
38;18:30;0.28;0.0;21.81;104.82;0.0;0.0;1595.28;-1595.28;24.89;3704.9;0.0;749.3;0.0;-1.37;31.2;4.19;1.49;0.0;0.0
39;19:00;0.0;0.0;21.51;104.39;0.0;0.0;580.32;-580.32;9.26;3830.8;0.0;580.3;0.0;-1.38;31.9;4.19;1.49;0.0;0.0
40;19:30;0.0;0.0;21.2;100.97;0.0;0.0;570.15;-570.15;9.09;4029.8;312.8;570.1;0.3;-1.33;31.9;4.2;1.5;0.0;0.0
41;20:00;0.34;0.0;21.24;100.54;0.0;0.0;1637.4;-1637.4;23.33;3797.4;0.0;608.1;0.26;-1.32;28.5;4.2;1.5;0.0;0.0
42;20:30;0.2;0.0;21.2;99.12;0.0;0.0;1326.32;-1326.32;18.9;2952.4;103.2;726.3;0.3;-1.37;28.5;4.19;1.49;0.0;0.0
43;21:00;0.23;0.0;21.2;98.69;0.0;0.0;1438.47;-1438.47;18.05;2803.0;0.0;758.4;0.3;-1.4;25.1;4.19;1.49;0.0;0.0
44;21:30;0.26;0.0;21.2;96.72;0.0;0.0;1509.96;-1509.96;18.95;3227.5;160.8;728.5;0.3;-1.4;25.1;4.19;1.49;0.0;0.0
45;22:00;0.33;0.0;21.26;96.29;0.0;0.0;1622.2;-1622.2;16.22;3408.1;0.0;619.0;0.24;-1.47;20.0;4.17;1.47;0.0;0.0
46;22:30;0.2;0.0;21.2;95.86;0.0;0.0;1056.58;-1056.58;10.57;3178.9;0.0;456.6;0.3;-1.62;20.0;4.15;1.45;0.0;0.0
47;23:00;0.36;0.0;21.33;95.43;0.0;0.0;1393.13;-1393.13;9.12;2752.8;0.0;312.2;0.17;-1.75;13.1;4.13;1.43;0.0;0.0
48;23:30;0.2;0.0;21.35;95.0;0.0;0.0;785.51;-785.51;5.15;2120.6;0.0;185.5;5.0;-1.85;13.1;4.11;1.41;0.0;0.0
