timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;1.0;0.0;22.53;124.57;0.0;0.0;3129.64;-3129.64;-2.35;2004.0;0.0;129.6;0.03;-2.0;-1.5;4.08;1.38;0.0;0.0
2;00:30;0.51;0.0;22.8;124.14;0.0;0.0;1649.64;-1649.64;-1.24;2611.6;0.0;133.4;0.3;-2.0;-1.5;4.08;1.38;0.0;0.0
3;01:00;0.25;0.0;22.8;123.71;0.0;0.0;879.62;-879.62;-1.63;3016.9;0.0;127.5;0.3;-2.05;-3.7;4.07;1.37;0.0;0.0
4;01:30;0.2;0.0;22.74;123.28;0.0;0.0;709.37;-709.37;-1.31;3199.7;0.0;109.4;0.24;-2.15;-3.7;4.05;1.35;0.0;0.0
5;02:00;0.29;0.0;22.76;122.85;0.0;0.0;990.16;-990.16;-2.82;3222.4;0.0;109.7;0.26;-2.3;-5.7;4.03;1.33;0.0;0.0
6;02:30;0.0;1.0;22.52;159.46;0.0;0.0;3128.77;-3128.77;-8.92;3068.1;0.0;128.8;0.02;-2.5;-5.7;3.99;1.29;0.0;0.0
7;03:00;0.0;1.0;22.28;194.91;0.0;0.0;3147.21;-3147.21;-10.54;3079.3;0.0;147.2;0.0;-2.72;-6.7;3.95;1.25;0.0;0.0
8;03:30;0.0;1.0;22.02;229.07;0.0;0.0;3161.51;-3161.51;-10.59;3430.8;0.0;161.5;0.0;-2.97;-6.7;3.91;1.21;0.0;0.0
9;04:00;0.0;0.64;21.73;250.0;0.0;0.0;2210.96;-2210.96;-6.3;3738.2;0.0;279.9;0.0;-3.24;-5.7;3.86;1.16;0.0;0.0
10;04:30;1.0;0.0;22.29;249.57;0.0;0.0;3503.37;-3503.37;-9.98;3997.0;0.0;503.4;0.0;-3.54;-5.7;3.8;1.1;0.0;0.0
11;05:00;1.0;0.0;22.8;249.14;0.0;0.0;3761.38;-3761.38;-4.33;4557.6;0.0;761.4;0.3;-3.8;-2.3;3.76;1.06;0.0;0.0
12;05:30;0.49;0.0;22.8;248.71;0.0;0.0;2508.4;-2508.4;-2.88;5439.0;0.0;1034.5;0.3;-4.0;-2.3;3.72;1.02;0.0;0.0
13;06:00;0.54;0.0;22.8;248.28;0.0;0.0;2669.52;-2669.52;-35.5;5887.6;0.0;1053.7;0.3;-4.27;-26.6;3.67;1.0;0.0;0.0
14;06:30;0.54;0.0;22.8;247.85;0.0;0.0;2427.31;-2427.31;-32.28;5761.3;0.0;818.4;0.3;-4.62;-26.6;3.61;1.0;0.0;0.0
15;07:00;0.44;0.0;22.72;232.99;0.0;0.0;1950.59;-1950.59;-18.04;5711.5;1508.0;626.4;0.22;-4.87;-18.5;3.56;1.0;0.0;0.0
16;07:30;0.2;0.0;22.45;232.56;0.0;0.0;1078.04;-1078.04;-9.97;5595.7;0.0;478.0;0.0;-5.02;-18.5;3.54;1.0;0.0;0.0
17;08:00;0.2;0.0;22.18;232.13;0.0;0.0;952.58;-952.58;-4.05;5605.3;0.0;352.6;0.0;-5.34;-8.5;3.48;1.0;0.0;0.0
18;08:30;0.2;0.0;21.89;231.7;0.0;0.0;835.71;-835.71;-3.55;5721.5;0.0;235.7;0.0;-5.84;-8.5;3.39;1.0;0.0;0.0
19;09:00;1.0;0.0;22.21;223.78;0.0;0.0;3300.83;-3300.83;-0.17;5890.4;782.7;300.8;0.0;-6.03;-0.1;3.36;1.0;0.0;0.0
20;09:30;1.0;0.0;22.5;223.35;0.0;0.0;3551.57;-3551.57;-0.18;6292.4;0.0;551.6;0.0;-5.88;-0.1;3.38;1.0;0.0;0.0
21;10:00;1.0;0.0;22.8;222.92;0.0;0.0;3616.13;-3616.13;7.23;6318.7;0.0;616.1;0.3;-5.63;4.0;3.43;1.0;0.0;0.0
22;10:30;0.57;0.0;22.8;221.58;0.0;0.0;2213.34;-2213.34;4.43;5890.3;95.0;512.3;0.3;-5.28;4.0;3.49;1.0;0.0;0.0
23;11:00;0.52;0.0;22.8;221.15;0.0;0.0;1940.69;-1940.69;8.05;5493.7;0.0;377.7;0.3;-4.98;8.3;3.54;1.0;0.0;0.0
24;11:30;0.49;0.0;22.8;220.72;0.0;0.0;1699.06;-1699.06;7.05;5220.2;0.0;232.1;0.3;-4.73;8.3;3.59;1.0;0.0;0.0
25;12:00;0.46;0.0;22.8;220.29;0.0;0.0;1802.81;-1802.81;6.4;4905.6;0.0;433.9;0.3;-4.58;7.1;3.62;1.0;0.0;0.0
26;12:30;0.44;0.0;22.8;219.85;0.0;0.0;2321.23;-2321.23;8.24;4710.5;0.0;1009.6;0.3;-4.53;7.1;3.63;1.0;0.0;0.0
27;13:00;0.0;0.0;22.44;219.42;0.0;0.0;1284.83;-1284.83;-1.09;4719.4;0.0;1284.8;0.0;-4.45;-1.7;3.64;1.0;0.0;0.0
28;13:30;0.0;0.0;22.04;218.99;0.0;0.0;1226.82;-1226.82;-1.04;5178.2;0.0;1226.8;0.0;-4.35;-1.7;3.66;1.0;0.0;0.0
29;14:00;1.0;0.0;22.46;218.56;0.0;0.0;4028.61;-4028.61;-3.42;5384.8;0.0;1028.6;0.0;-4.25;-1.7;3.67;1.0;0.0;0.0
30;14:30;0.89;0.0;22.8;178.27;0.0;0.0;3326.03;-3326.03;-2.83;5378.4;4166.7;667.7;0.3;-4.15;-1.7;3.69;1.0;0.0;0.0
31;15:00;0.0;0.0;22.38;177.84;0.0;0.0;489.89;-489.89;-0.83;5415.3;0.0;489.9;0.0;-4.08;-3.4;3.71;1.01;0.0;0.0
32;15:30;0.94;0.0;22.75;176.29;0.0;0.0;3322.94;-3322.94;-5.65;5558.0;117.2;504.1;0.25;-4.03;-3.4;3.72;1.02;0.0;0.0
33;16:00;0.2;0.0;22.5;175.86;0.0;0.0;1138.47;-1138.47;-0.57;5563.9;0.0;538.5;0.0;-3.95;-1.0;3.73;1.03;0.0;0.0
34;16:30;0.2;0.0;22.23;175.43;0.0;0.0;1185.85;-1185.85;-0.59;5690.2;0.0;585.8;0.0;-3.85;-1.0;3.75;1.05;0.0;0.0
35;17:00;0.2;0.0;21.99;175.0;0.0;0.0;1364.99;-1364.99;8.12;5343.4;0.0;765.0;0.0;-3.8;11.9;3.76;1.06;0.0;0.0
36;17:30;1.0;0.0;22.5;174.57;0.0;0.0;4092.17;-4092.17;24.35;4595.0;0.0;1092.2;0.0;-3.8;11.9;3.76;1.06;0.0;0.0
37;18:00;0.2;0.0;22.32;174.13;0.0;0.0;1992.92;-1992.92;9.77;4562.1;0.0;1392.9;0.0;-3.87;9.8;3.74;1.04;0.0;0.0
38;18:30;0.2;0.0;22.07;173.7;0.0;0.0;2230.57;-2230.57;10.93;5386.1;0.0;1630.6;0.0;-4.02;9.8;3.72;1.02;0.0;0.0
39;19:00;0.0;0.0;21.63;173.27;0.0;0.0;1444.91;-1444.91;9.61;5683.7;0.0;1444.9;0.0;-3.91;13.3;3.74;1.04;0.0;0.0
40;19:30;0.0;0.0;21.2;172.84;0.0;0.0;793.42;-793.42;5.28;5613.9;0.0;793.4;0.3;-3.51;13.3;3.81;1.11;0.0;0.0
41;20:00;0.47;0.0;21.2;170.84;0.0;0.0;1965.99;-1965.99;7.86;5480.4;164.2;548.5;0.3;-3.01;8.0;3.9;1.2;0.0;0.0
42;20:30;0.43;0.0;21.2;170.41;0.0;0.0;2007.67;-2007.67;8.03;5138.6;0.0;713.8;0.3;-2.41;8.0;4.01;1.31;0.0;0.0
43;21:00;0.4;0.0;21.2;169.98;0.0;0.0;1997.51;-1997.51;7.69;4872.3;0.0;799.9;0.3;-1.86;7.7;4.11;1.41;0.0;0.0
44;21:30;0.88;0.0;21.69;94.5;0.0;0.0;3404.61;-3404.61;13.11;4661.6;7845.1;769.4;0.0;-1.36;7.7;4.2;1.5;0.0;0.0
45;22:00;0.0;0.2;21.39;103.04;0.0;0.0;1229.47;-1229.47;5.29;3864.2;0.0;629.5;0.11;-0.98;8.6;4.26;1.56;0.0;0.0
46;22:30;0.0;0.0;21.2;102.61;0.0;0.0;333.28;-333.28;1.43;2395.3;0.0;333.3;0.3;-0.73;8.6;4.31;1.61;0.0;0.0
47;23:00;0.25;0.0;21.31;102.18;0.0;0.0;915.0;-915.0;-1.65;1813.6;0.0;157.8;0.19;-0.48;-3.6;4.35;1.65;0.0;0.0
48;23:30;1.0;0.0;22.15;101.75;0.0;0.0;3114.04;-3114.04;-5.61;2176.4;0.0;114.0;0.0;-0.23;-3.6;4.4;1.7;0.0;0.0
