timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;chargingPowerEV;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_SOCofEV;simulationResult_energyLevelOfEV;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];Availability of the EV;Energy Consumption of the EV;thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;1.0;0.0;4700.0;22.53;124.57;43.49;26.09;0.0;0.0;7830.16;-7830.16;-5.87;1994.2;0.0;130.2;1.0;0.0;0.03;-2.0;-1.5;4.08;1.38;0.0;0.0
2;00:30;0.0;1.0;4700.0;22.33;163.75;46.97;28.18;0.0;0.0;7834.29;-7834.29;-5.88;2586.5;0.0;134.3;1.0;0.0;0.0;-2.0;-1.5;4.08;1.38;0.0;0.0
3;01:00;0.0;0.87;4700.0;22.09;197.57;50.46;30.27;0.0;0.0;7437.42;-7437.42;-13.76;3018.9;0.0;126.2;1.0;0.0;0.0;-2.05;-3.7;4.07;1.37;0.0;0.0
4;01:30;0.44;0.0;4700.0;22.25;197.14;53.94;32.37;0.0;0.0;6121.6;-6121.6;-11.32;3203.4;0.0;108.8;1.0;0.0;0.0;-2.15;-3.7;4.05;1.35;0.0;0.0
5;02:00;0.2;0.0;0.0;22.19;196.71;53.94;32.37;0.0;0.0;709.96;-709.96;-2.02;3217.9;0.0;110.0;1.0;0.0;0.0;-2.3;-5.7;4.03;1.33;0.0;0.0
6;02:30;0.2;0.0;4700.0;22.13;196.28;57.43;34.46;0.0;0.0;5429.68;-5429.68;-15.47;3050.0;0.0;129.7;1.0;0.0;0.0;-2.5;-5.7;3.99;1.29;0.0;0.0
7;03:00;1.0;0.0;0.0;22.8;195.85;57.43;34.46;0.0;0.0;3144.68;-3144.68;-10.53;3116.0;0.0;144.7;1.0;0.0;0.3;-2.72;-6.7;3.95;1.25;0.0;0.0
8;03:30;0.0;0.2;0.0;22.53;202.34;57.43;34.46;0.0;0.0;762.0;-762.0;-2.55;3427.0;0.0;162.0;1.0;0.0;0.03;-2.97;-6.7;3.91;1.21;0.0;0.0
9;04:00;0.41;0.0;0.0;22.61;201.91;57.43;34.46;0.0;0.0;1505.69;-1505.69;-4.29;3714.8;0.0;283.5;1.0;0.0;0.11;-3.24;-5.7;3.86;1.16;0.0;0.0
10;04:30;0.0;0.2;0.0;22.3;207.8;57.43;34.46;0.0;0.0;1112.92;-1112.92;-3.17;4017.7;0.0;512.9;1.0;0.0;0.0;-3.54;-5.7;3.8;1.1;0.0;0.0
11;05:00;1.0;0.0;0.0;22.8;207.37;57.43;34.46;0.0;0.0;3764.03;-3764.03;-4.33;4643.1;0.0;764.0;1.0;0.0;0.3;-3.8;-2.3;3.76;1.06;0.0;0.0
12;05:30;0.5;0.0;0.0;22.8;206.94;57.43;34.46;0.0;0.0;2515.41;-2515.41;-2.89;5489.6;0.0;1027.7;1.0;0.0;0.3;-4.0;-2.3;3.72;1.02;0.0;0.0
13;06:00;0.53;0.0;0.0;22.8;206.51;57.43;34.46;0.0;0.0;2642.57;-2642.57;-35.15;5840.6;0.0;1039.7;1.0;0.0;0.3;-4.27;-26.6;3.67;1.0;0.0;0.0
14;06:30;0.54;0.0;0.0;22.8;206.08;57.43;34.46;0.0;0.0;2421.82;-2421.82;-32.21;5755.3;0.0;814.4;0.5;0.0;0.3;-4.62;-26.6;3.61;1.0;0.0;0.0
15;07:00;0.2;0.0;0.0;22.53;191.19;56.58;33.95;0.0;0.0;1220.05;-1220.05;-11.29;5662.0;1511.9;620.0;0.0;1827272.7272727273;0.03;-4.87;-18.5;3.56;1.0;0.0;0.0
16;07:30;0.81;0.0;0.0;22.75;190.76;55.74;33.44;0.0;0.0;2910.5;-2910.5;-26.92;5631.3;0.0;473.0;0.0;1827272.7272727273;0.25;-5.02;-18.5;3.54;1.0;0.0;0.0
17;08:00;0.2;0.0;0.0;22.48;190.33;54.89;32.93;0.0;0.0;947.61;-947.61;-4.03;5599.4;0.0;347.6;0.0;1827272.7272727273;0.0;-5.34;-8.5;3.48;1.0;0.0;0.0
18;08:30;0.2;0.0;0.0;22.2;189.89;54.05;32.43;0.0;0.0;837.34;-837.34;-3.56;5702.3;0.0;237.3;0.0;1827272.7272727273;0.0;-5.84;-8.5;3.39;1.0;0.0;0.0
19;09:00;1.0;0.0;0.0;22.51;182.2;53.2;31.92;0.0;0.0;3302.36;-3302.36;-0.17;5891.1;759.5;302.4;0.0;1827272.7272727273;0.01;-6.03;-0.1;3.36;1.0;0.0;0.0
20;09:30;1.0;0.0;0.0;22.8;181.77;52.35;31.41;0.0;0.0;3548.36;-3548.36;-0.18;6331.7;0.0;548.4;0.0;1827272.7272727273;0.3;-5.88;-0.1;3.38;1.0;0.0;0.0
21;10:00;0.49;0.0;0.0;22.7;181.34;51.51;30.9;0.0;0.0;2075.83;-2075.83;4.15;6281.1;0.0;619.3;0.0;1827272.7272727273;0.2;-5.63;4.0;3.43;1.0;0.0;0.0
