timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.2;0.0;21.77;124.57;0.0;0.0;920.87;-920.87;-0.69;2165.8;0.0;320.9;0.0;-2.0;-1.5;4.08;1.38;0.0;0.0
2;00:30;0.2;0.0;21.8;124.14;0.0;0.0;783.85;-783.85;-0.59;1937.6;0.0;183.9;0.0;-2.0;-1.5;4.08;1.38;0.0;0.0
3;01:00;0.0;0.0;21.66;123.71;0.0;0.0;112.28;-112.28;-0.21;1862.0;0.0;112.3;0.0;-2.05;-3.7;4.07;1.37;0.0;0.0
4;01:30;0.84;0.0;22.29;123.28;0.0;0.0;2644.62;-2644.62;-4.89;1915.4;0.0;116.2;0.0;-2.15;-3.7;4.05;1.35;0.0;0.0
5;02:00;0.0;1.0;22.13;160.92;0.0;0.0;3117.29;-3117.29;-8.88;2133.7;0.0;117.3;0.0;-2.3;-5.7;4.03;1.33;0.0;0.0
6;02:30;0.2;0.0;22.12;160.49;0.0;0.0;711.46;-711.46;-2.03;2470.5;0.0;111.5;0.0;-2.5;-5.7;3.99;1.29;0.0;0.0
7;03:00;1.0;0.0;22.8;160.06;0.0;0.0;3115.5;-3115.5;-10.44;2869.2;0.0;115.5;0.3;-2.72;-6.7;3.95;1.25;0.0;0.0
8;03:30;0.2;0.0;22.72;159.63;0.0;0.0;725.72;-725.72;-2.43;3345.6;0.0;125.7;0.22;-2.97;-6.7;3.91;1.21;0.0;0.0
9;04:00;0.4;0.0;22.8;159.2;0.0;0.0;1341.59;-1341.59;-3.82;3541.3;0.0;139.8;0.3;-3.24;-5.7;3.86;1.16;0.0;0.0
10;04:30;0.32;0.0;22.8;158.77;0.0;0.0;1112.39;-1112.39;-3.17;3575.4;0.0;160.2;0.3;-3.54;-5.7;3.8;1.1;0.0;0.0
11;05:00;0.32;0.0;22.8;158.34;0.0;0.0;1287.82;-1287.82;-1.48;3569.3;0.0;325.7;0.3;-3.8;-2.3;3.76;1.06;0.0;0.0
12;05:30;0.32;0.0;22.8;157.91;0.0;0.0;1600.1;-1600.1;-1.84;3502.0;0.0;646.7;0.3;-4.0;-2.3;3.72;1.02;0.0;0.0
13;06:00;0.34;0.0;22.8;157.48;0.0;0.0;1930.83;-1930.83;-25.68;3726.3;0.0;903.6;0.3;-4.27;-26.6;3.67;1.0;0.0;0.0
14;06:30;0.41;0.0;22.8;157.05;0.0;0.0;2321.2;-2321.2;-30.87;4341.8;0.0;1105.6;0.3;-4.62;-26.6;3.61;1.0;0.0;0.0
15;07:00;0.44;0.0;22.8;146.94;0.0;0.0;2377.53;-2377.53;-21.99;4679.2;1011.5;1051.5;0.3;-4.87;-18.5;3.56;1.0;0.0;0.0
16;07:30;0.46;0.0;22.8;146.51;0.0;0.0;2083.96;-2083.96;-19.28;4867.2;0.0;694.7;0.3;-5.02;-18.5;3.54;1.0;0.0;0.0
17;08:00;0.47;0.0;22.76;146.08;0.0;0.0;1892.41;-1892.41;-8.04;5372.5;0.0;475.8;0.26;-5.34;-8.5;3.48;1.0;0.0;0.0
18;08:30;0.2;0.0;22.44;145.65;0.0;0.0;997.05;-997.05;-4.24;6138.6;0.0;397.0;0.0;-5.84;-8.5;3.39;1.0;0.0;0.0
19;09:00;1.0;0.0;22.69;145.22;0.0;0.0;3311.57;-3311.57;-0.17;6781.8;0.0;311.6;0.19;-6.03;-0.1;3.36;1.0;0.0;0.0
20;09:30;0.0;0.0;22.14;144.79;0.0;0.0;212.74;-212.74;-0.01;7118.7;0.0;212.7;0.0;-5.88;-0.1;3.38;1.0;0.0;0.0
21;10:00;0.0;0.0;21.61;144.36;0.0;0.0;286.84;-286.84;0.57;6926.8;0.0;286.8;0.0;-5.63;4.0;3.43;1.0;0.0;0.0
22;10:30;1.0;0.0;21.94;142.4;0.0;0.0;3545.99;-3545.99;7.09;6079.1;159.2;546.0;0.0;-5.28;4.0;3.49;1.0;0.0;0.0
