timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;0.2;21.57;132.49;0.0;0.0;732.2;-732.2;-0.55;2330.6;0.0;132.2;0.0;-2.0;-1.5;4.08;1.38;0.0;0.0
2;00:30;0.0;0.0;21.35;132.06;0.0;0.0;127.54;-127.54;-0.1;2787.4;0.0;127.5;0.15;-2.0;-1.5;4.08;1.38;0.0;0.0
3;01:00;1.0;0.0;22.05;131.63;0.0;0.0;3132.89;-3132.89;-5.8;3071.5;0.0;132.9;0.0;-2.05;-3.7;4.07;1.37;0.0;0.0
4;01:30;0.2;0.0;21.99;131.2;0.0;0.0;743.23;-743.23;-1.37;3145.2;0.0;143.2;0.0;-2.15;-3.7;4.05;1.35;0.0;0.0
5;02:00;0.4;0.0;22.11;130.77;0.0;0.0;1344.94;-1344.94;-3.83;3166.9;0.0;144.9;0.0;-2.3;-5.7;4.03;1.33;0.0;0.0
6;02:30;0.46;0.0;22.3;130.34;0.0;0.0;1499.68;-1499.68;-4.27;3022.6;0.0;131.0;0.0;-2.5;-5.7;3.99;1.29;0.0;0.0
7;03:00;0.63;0.0;22.62;129.91;0.0;0.0;2147.95;-2147.95;-7.2;3130.9;0.0;264.0;0.12;-2.72;-6.7;3.95;1.25;0.0;0.0
8;03:30;0.65;0.0;22.95;129.48;0.0;0.0;2506.32;-2506.32;-8.4;3395.9;0.0;545.2;0.45;-2.97;-6.7;3.91;1.21;0.0;0.0
9;04:00;0.34;0.0;22.95;129.05;0.0;0.0;1791.73;-1791.73;-5.11;3919.7;0.0;763.5;0.45;-3.24;-5.7;3.86;1.16;0.0;0.0
10;04:30;0.43;0.0;22.95;128.62;0.0;0.0;2217.02;-2217.02;-6.32;4859.8;0.0;926.9;0.45;-3.54;-5.7;3.8;1.1;0.0;0.0
11;05:00;0.49;0.0;22.95;128.19;0.0;0.0;2357.88;-2357.88;-2.71;5425.6;0.0;901.6;0.45;-3.8;-2.3;3.76;1.06;0.0;0.0
12;05:30;0.52;0.0;22.95;127.76;0.0;0.0;2208.21;-2208.21;-2.54;5708.6;0.0;661.8;0.45;-4.0;-2.3;3.72;1.02;0.0;0.0
13;06:00;0.52;0.0;22.95;127.32;0.0;0.0;2067.55;-2067.55;-27.5;5701.0;0.0;502.5;0.45;-4.27;-26.6;3.67;1.0;0.0;0.0
14;06:30;0.48;0.0;22.95;126.89;0.0;0.0;1856.73;-1856.73;-24.69;5135.5;0.0;421.1;0.45;-4.62;-26.6;3.61;1.0;0.0;0.0
15;07:00;0.59;0.0;23.02;87.01;0.0;0.0;2088.89;-2088.89;-19.32;5245.8;4123.4;321.8;0.52;-4.87;-18.5;3.56;1.0;0.0;0.0
16;07:30;0.57;0.0;23.02;86.58;0.0;0.0;1918.48;-1918.48;-17.75;5967.5;0.0;218.1;0.52;-5.02;-18.5;3.54;1.0;0.0;0.0
17;08:00;0.82;0.0;23.21;86.15;0.0;0.0;2789.91;-2789.91;-11.86;6006.9;0.0;330.1;0.71;-5.34;-8.5;3.48;1.0;0.0;0.0
18;08:30;0.77;0.0;23.4;82.44;0.0;0.0;2970.19;-2970.19;-12.62;5295.3;343.5;674.2;0.9;-5.84;-8.5;3.39;1.0;0.0;0.0
19;09:00;0.5;0.0;23.4;82.01;0.0;0.0;2249.53;-2249.53;-0.11;5027.9;0.0;737.5;0.9;-6.03;-0.1;3.36;1.0;0.0;0.0
20;09:30;0.0;0.81;23.0;69.55;0.0;0.0;2937.46;-2937.46;-0.15;5239.1;3687.2;507.5;0.5;-5.88;-0.1;3.38;1.0;0.0;0.0
21;10:00;1.0;0.0;23.37;69.12;0.0;0.0;3338.15;-3338.15;6.68;5371.0;0.0;338.2;0.87;-5.63;4.0;3.43;1.0;0.0;0.0
22;10:30;0.0;1.0;22.95;97.39;0.0;0.0;3219.32;-3219.32;6.44;5411.4;0.0;219.3;0.45;-5.28;4.0;3.49;1.0;0.0;0.0
23;11:00;1.0;0.0;23.38;96.96;0.0;0.0;3347.86;-3347.86;13.89;5034.1;0.0;347.9;0.88;-4.98;8.3;3.54;1.0;0.0;0.0
24;11:30;0.38;0.0;23.38;95.6;0.0;0.0;1876.88;-1876.88;7.79;4033.9;97.0;740.3;0.88;-4.73;8.3;3.59;1.0;0.0;0.0
25;12:00;0.35;0.0;23.38;95.17;0.0;0.0;2095.86;-2095.86;7.44;3717.3;0.0;1055.5;0.88;-4.58;7.1;3.62;1.0;0.0;0.0
26;12:30;0.39;0.0;23.38;94.74;0.0;0.0;2420.23;-2420.23;8.59;4180.8;0.0;1254.6;0.88;-4.53;7.1;3.63;1.0;0.0;0.0
27;13:00;0.43;0.0;23.38;94.31;0.0;0.0;2441.4;-2441.4;-2.08;4607.8;0.0;1162.7;0.88;-4.45;-1.7;3.64;1.0;0.0;0.0
28;13:30;0.45;0.0;23.38;93.88;0.0;0.0;2081.27;-2081.27;-1.77;4921.9;0.0;723.0;0.88;-4.35;-1.7;3.66;1.0;0.0;0.0
29;14:00;0.45;0.0;23.38;93.45;0.0;0.0;1853.99;-1853.99;-1.58;4916.4;0.0;503.8;0.88;-4.25;-1.7;3.67;1.0;0.0;0.0
30;14:30;0.4;0.0;23.38;93.02;0.0;0.0;1705.95;-1705.95;-1.45;4401.8;0.0;501.7;0.88;-4.15;-1.7;3.69;1.0;0.0;0.0
31;15:00;0.39;0.0;23.38;92.59;0.0;0.0;1681.78;-1681.78;-2.86;4310.2;0.0;506.7;0.88;-4.08;-3.4;3.71;1.01;0.0;0.0
32;15:30;0.41;0.0;23.38;92.16;0.0;0.0;1747.08;-1747.08;-2.97;4522.5;0.0;517.7;0.88;-4.03;-3.4;3.72;1.02;0.0;0.0
33;16:00;0.41;0.0;23.38;91.73;0.0;0.0;1840.0;-1840.0;-0.92;4542.8;0.0;609.6;0.88;-3.95;-1.0;3.73;1.03;0.0;0.0
34;16:30;0.37;0.0;23.38;91.29;0.0;0.0;1896.31;-1896.31;-0.95;4144.2;0.0;778.2;0.88;-3.85;-1.0;3.75;1.05;0.0;0.0
35;17:00;0.0;0.0;23.06;90.86;0.0;0.0;1030.03;-1030.03;6.13;4104.8;0.0;1030.0;0.56;-3.8;11.9;3.76;1.06;0.0;0.0
36;17:30;0.0;0.0;22.71;90.43;0.0;0.0;1377.34;-1377.34;8.2;4509.3;0.0;1377.3;0.21;-3.8;11.9;3.76;1.06;0.0;0.0
37;18:00;0.0;0.0;22.34;90.0;0.0;0.0;1326.82;-1326.82;6.5;4775.3;0.0;1326.8;0.0;-3.87;9.8;3.74;1.04;0.0;0.0
38;18:30;0.0;0.0;21.97;89.57;0.0;0.0;811.64;-811.64;3.98;4860.1;0.0;811.6;0.0;-4.02;9.8;3.72;1.02;0.0;0.0
39;19:00;0.42;0.0;21.97;86.57;0.0;0.0;1821.0;-1821.0;12.11;4686.5;268.6;554.8;0.0;-3.91;13.3;3.74;1.04;0.0;0.0
40;19:30;0.38;0.0;21.97;86.14;0.0;0.0;1683.1;-1683.1;11.19;4242.0;0.0;557.5;0.0;-3.51;13.3;3.81;1.11;0.0;0.0
41;20:00;0.34;0.0;21.97;85.71;0.0;0.0;1619.02;-1619.02;6.48;3911.8;0.0;604.0;0.0;-3.01;8.0;3.9;1.2;0.0;0.0
42;20:30;0.32;0.0;21.97;85.28;0.0;0.0;1668.06;-1668.06;6.67;3850.7;0.0;695.6;0.0;-2.41;8.0;4.01;1.31;0.0;0.0
43;21:00;0.27;0.0;21.97;84.85;0.0;0.0;1397.59;-1397.59;5.38;3231.7;0.0;599.5;0.0;-1.86;7.7;4.11;1.41;0.0;0.0
44;21:30;0.2;0.0;22.01;84.42;0.0;0.0;898.01;-898.01;3.46;1931.5;0.0;298.0;0.0;-1.36;7.7;4.2;1.5;0.0;0.0
45;22:00;0.0;0.0;21.9;83.99;0.0;0.0;130.4;-130.4;0.56;1414.2;0.0;130.4;0.0;-0.98;8.6;4.26;1.56;0.0;0.0
46;22:30;0.0;0.0;21.76;83.56;0.0;0.0;102.94;-102.94;0.44;1689.3;0.0;102.9;0.0;-0.73;8.6;4.31;1.61;0.0;0.0
47;23:00;0.2;0.0;21.8;83.13;0.0;0.0;693.6;-693.6;-1.25;2025.5;0.0;93.6;0.0;-0.48;-3.6;4.35;1.65;0.0;0.0
48;23:30;0.2;0.0;21.82;82.7;0.0;0.0;703.42;-703.42;-1.27;2456.1;0.0;103.4;11.15;-0.23;-3.6;4.4;1.7;0.0;0.0
