timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;1.0;0.0;22.57;124.57;0.0;0.0;3129.65;-3129.65;15.65;1923.8;0.0;129.7;0.07;-1.1;10.0;4.24;1.54;0.0;0.0
2;00:30;0.0;1.0;22.4;168.4;0.0;0.0;3121.99;-3121.99;15.61;2199.8;0.0;122.0;0.0;-1.1;10.0;4.24;1.54;0.0;0.0
3;01:00;0.0;0.2;22.21;176.82;0.0;0.0;723.45;-723.45;4.3;2397.3;0.0;123.5;0.0;-1.1;11.9;4.24;1.54;0.0;0.0
4;01:30;0.0;0.2;22.02;185.24;0.0;0.0;734.97;-734.97;4.37;2515.4;0.0;135.0;0.0;-1.1;11.9;4.24;1.54;0.0;0.0
5;02:00;0.0;0.45;21.81;204.55;0.0;0.0;1479.72;-1479.72;7.1;2701.7;0.0;134.2;0.0;-1.15;9.6;4.23;1.53;0.0;0.0
6;02:30;0.2;0.0;21.78;204.11;0.0;0.0;727.49;-727.49;3.49;2911.7;0.0;127.5;0.0;-1.25;9.6;4.22;1.52;0.0;0.0
7;03:00;0.2;0.0;21.74;203.68;0.0;0.0;718.29;-718.29;2.8;2917.1;0.0;118.3;0.0;-1.28;7.8;4.21;1.51;0.0;0.0
8;03:30;0.56;0.0;22.06;203.25;0.0;0.0;1774.15;-1774.15;6.92;2834.8;0.0;106.8;0.0;-1.23;7.8;4.22;1.52;0.0;0.0
9;04:00;1.0;0.0;22.8;202.82;0.0;0.0;3103.22;-3103.22;13.5;2975.5;0.0;103.2;0.3;-1.18;8.7;4.23;1.53;0.0;0.0
10;04:30;0.0;1.0;22.54;246.52;0.0;0.0;3106.83;-3106.83;13.51;3369.1;0.0;106.8;0.04;-1.13;8.7;4.24;1.54;0.0;0.0
11;05:00;0.54;0.0;22.8;246.09;0.0;0.0;1743.63;-1743.63;7.85;3455.2;0.0;117.0;0.3;-1.05;9.0;4.25;1.55;0.0;0.0
12;05:30;0.24;0.0;22.8;245.66;0.0;0.0;857.32;-857.32;3.86;3051.6;0.0;131.9;0.3;-0.95;9.0;4.27;1.57;0.0;0.0
13;06:00;0.24;0.0;22.8;245.22;0.0;0.0;1206.97;-1206.97;11.16;3093.4;0.0;474.1;0.3;-0.88;18.5;4.28;1.58;0.0;0.0
14;06:30;0.0;0.0;22.52;244.79;0.0;0.0;1172.61;-1172.61;10.85;3558.9;0.0;1172.6;0.02;-0.83;18.5;4.29;1.59;0.0;0.0
15;07:00;0.0;0.0;22.2;242.58;0.0;0.0;1489.02;-1489.02;24.27;4223.8;186.7;1489.0;0.0;-0.8;32.6;4.3;1.6;0.0;0.0
16;07:30;0.0;0.0;21.81;157.76;0.0;0.0;1404.21;-1404.21;22.89;5070.9;8821.1;1404.2;0.0;-0.8;32.6;4.3;1.6;0.0;0.0
17;08:00;0.41;0.0;21.8;157.32;0.0;0.0;2364.46;-2364.46;33.58;5253.7;0.0;1147.7;0.0;-0.78;28.4;4.3;1.6;0.0;0.0
18;08:30;0.2;0.0;21.62;156.89;0.0;0.0;1299.77;-1299.77;18.46;4912.1;0.0;699.8;0.0;-0.73;28.4;4.31;1.61;0.0;0.0
19;09:00;0.2;0.0;21.44;156.46;0.0;0.0;1054.95;-1054.95;14.08;4945.3;0.0;455.0;0.06;-0.68;26.7;4.32;1.62;0.0;0.0
20;09:30;1.0;0.0;22.01;156.03;0.0;0.0;3436.76;-3436.76;45.88;5481.1;0.0;436.8;0.0;-0.63;26.7;4.33;1.63;0.0;0.0
21;10:00;1.0;0.0;22.56;155.6;0.0;0.0;3595.65;-3595.65;48.36;5673.4;0.0;595.7;0.06;-0.58;26.9;4.34;1.64;0.0;0.0
22;10:30;0.2;0.0;22.35;155.17;0.0;0.0;1532.52;-1532.52;20.61;5388.3;0.0;932.5;0.0;-0.53;26.9;4.35;1.65;0.0;0.0
23;11:00;0.86;0.0;22.8;154.74;0.0;0.0;3515.42;-3515.42;52.91;5232.7;0.0;944.7;0.3;-0.5;30.1;4.35;1.65;0.0;0.0
24;11:30;0.38;0.0;22.8;114.6;0.0;0.0;1802.02;-1802.02;27.12;4879.7;4150.6;669.8;0.3;-0.5;30.1;4.35;1.65;0.0;0.0
25;12:00;0.33;0.0;22.8;113.48;0.0;0.0;1926.11;-1926.11;28.41;4308.9;72.8;924.1;0.3;-0.52;29.5;4.35;1.65;0.0;0.0
26;12:30;0.29;0.0;22.8;109.99;0.0;0.0;2583.85;-2583.85;38.11;3767.2;319.1;1704.8;0.3;-0.57;29.5;4.34;1.64;0.0;0.0
27;13:00;0.28;0.0;22.8;109.56;0.0;0.0;2553.55;-2553.55;36.26;3533.2;0.0;1725.8;0.3;-0.65;28.4;4.32;1.62;0.0;0.0
28;13:30;0.29;0.0;22.8;109.13;0.0;0.0;1736.28;-1736.28;24.66;3713.8;0.0;863.3;0.3;-0.75;28.4;4.31;1.61;0.0;0.0
29;14:00;0.31;0.0;22.8;108.7;0.0;0.0;1452.08;-1452.08;20.04;3882.3;0.0;536.2;0.3;-0.85;27.6;4.29;1.59;0.0;0.0
30;14:30;0.32;0.0;22.8;108.27;0.0;0.0;1740.59;-1740.59;24.02;4030.8;0.0;786.0;0.3;-0.95;27.6;4.27;1.57;0.0;0.0
31;15:00;0.34;0.0;22.8;107.84;0.0;0.0;1939.25;-1939.25;27.05;4345.3;0.0;909.6;0.3;-0.98;27.9;4.26;1.56;0.0;0.0
32;15:30;0.2;0.0;22.62;107.41;0.0;0.0;1498.73;-1498.73;20.91;4898.5;0.0;898.7;0.12;-0.93;27.9;4.27;1.57;0.0;0.0
33;16:00;0.6;0.0;22.8;106.98;0.0;0.0;2511.35;-2511.35;35.79;5207.7;0.0;723.7;0.3;-0.95;28.5;4.27;1.57;0.0;0.0
34;16:30;0.41;0.0;22.8;106.55;0.0;0.0;1632.57;-1632.57;23.26;5181.8;0.0;403.2;0.3;-1.05;28.5;4.25;1.55;0.0;0.0
35;17:00;0.0;0.0;22.43;106.12;0.0;0.0;468.96;-468.96;7.48;4823.7;0.0;469.0;0.0;-1.15;31.9;4.23;1.53;0.0;0.0
36;17:30;0.0;0.0;22.11;105.69;0.0;0.0;941.78;-941.78;15.02;4072.5;0.0;941.8;0.0;-1.25;31.9;4.22;1.52;0.0;0.0
37;18:00;0.28;0.0;22.1;105.26;0.0;0.0;1898.25;-1898.25;29.61;3722.0;0.0;1054.1;0.0;-1.32;31.2;4.2;1.5;0.0;0.0
38;18:30;0.0;0.0;21.81;104.83;0.0;0.0;749.28;-749.28;11.69;3704.9;0.0;749.3;0.0;-1.37;31.2;4.19;1.49;0.0;0.0
39;19:00;0.0;0.0;21.51;104.39;0.0;0.0;580.32;-580.32;9.26;3830.8;0.0;580.3;0.0;-1.38;31.9;4.19;1.49;0.0;0.0
40;19:30;0.0;0.0;21.2;100.97;0.0;0.0;570.15;-570.15;9.09;4029.8;312.8;570.1;0.3;-1.33;31.9;4.2;1.5;0.0;0.0
41;20:00;0.34;0.0;21.24;100.54;0.0;0.0;1637.4;-1637.4;23.33;3797.4;0.0;608.1;0.26;-1.32;28.5;4.2;1.5;0.0;0.0
42;20:30;0.2;0.0;21.2;99.12;0.0;0.0;1326.32;-1326.32;18.9;2952.4;103.2;726.3;0.3;-1.37;28.5;4.19;1.49;0.0;0.0
43;21:00;0.29;0.0;21.26;98.69;0.0;0.0;1619.67;-1619.67;20.33;2803.0;0.0;758.4;0.24;-1.4;25.1;4.19;1.49;0.0;0.0
44;21:30;0.2;0.0;21.2;96.72;0.0;0.0;1328.46;-1328.46;16.67;3227.5;160.8;728.5;0.3;-1.4;25.1;4.19;1.49;0.0;0.0
45;22:00;0.53;0.0;21.45;96.29;0.0;0.0;2218.3;-2218.3;22.18;3408.1;0.0;619.0;0.05;-1.47;20.0;4.17;1.47;0.0;0.0
46;22:30;0.0;0.0;21.2;95.86;0.0;0.0;456.58;-456.58;4.57;3178.9;0.0;456.6;0.3;-1.62;20.0;4.15;1.45;0.0;0.0
47;23:00;0.36;0.0;21.33;95.43;0.0;0.0;1393.13;-1393.13;9.12;2752.8;0.0;312.2;0.17;-1.75;13.1;4.13;1.43;0.0;0.0
48;23:30;0.2;0.0;21.35;95.0;0.0;0.0;785.51;-785.51;5.15;2120.6;0.0;185.5;0.0;-1.85;13.1;4.11;1.41;0.0;0.0
