timeslot;time of day;heatGenerationCoefficientSpaceHeating;temperatureBufferStorage;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);numberOfStarts_HP;HP_isRunning
1;00:00;0.2;21.76;0.0;0.0;4251.74;-4251.74;-3.19;11095.2;1251.7;0.0;-2.0;-1.5;4.08;0.0;0.0
2;00:30;0.21;21.76;0.0;0.0;4306.96;-4306.96;-3.23;12833.7;1106.3;0.0;-2.0;-1.5;4.08;0.0;0.0
3;01:00;0.22;21.76;0.0;0.0;4373.91;-4373.91;-8.09;13212.9;1073.3;0.0;-2.05;-3.7;4.07;0.0;0.0
4;01:30;0.2;21.76;0.0;0.0;4210.76;-4210.76;-7.79;12138.9;1160.4;0.0;-2.15;-3.7;4.05;0.0;0.0
5;02:00;0.21;21.76;0.0;0.0;4468.1;-4468.1;-12.73;12685.7;1261.7;0.0;-2.3;-5.7;4.03;0.0;0.0
6;02:30;0.25;21.76;0.0;0.0;5184.63;-5184.63;-14.78;14965.0;1378.2;0.0;-2.5;-5.7;3.99;0.0;0.0
7;03:00;0.3;21.76;0.0;0.0;5983.64;-5983.64;-20.05;17810.5;1418.0;0.0;-2.72;-6.7;3.95;0.0;0.0
8;03:30;0.37;21.76;0.0;0.0;6877.72;-6877.72;-23.04;21261.4;1375.8;0.0;-2.97;-6.7;3.91;0.0;0.0
9;04:00;0.4;21.76;0.0;0.0;7652.21;-7652.21;-21.81;22641.5;1722.0;0.0;-3.24;-5.7;3.86;0.0;0.0
10;04:30;0.43;21.79;0.0;0.0;8896.62;-8896.62;-25.36;21808.0;2483.2;0.0;-3.54;-5.7;3.8;0.0;0.0
11;05:00;0.48;21.79;0.0;0.0;10403.97;-10403.97;-11.96;26611.4;3260.2;0.0;-3.8;-2.3;3.76;0.0;0.0
12;05:30;0.67;21.79;0.0;0.0;14177.39;-14177.39;-16.3;37440.4;4053.9;0.0;-4.0;-2.3;3.72;0.0;0.0
13;06:00;0.89;21.89;0.0;0.0;17982.85;-17982.85;-239.17;40415.6;4582.8;0.0;-4.27;-26.6;3.67;0.0;0.0
14;06:30;1.0;22.12;0.0;0.0;19828.53;-19828.53;-263.72;34995.2;4828.5;0.0;-4.62;-26.6;3.61;0.0;0.0
15;07:00;1.0;22.37;0.0;0.0;19808.52;-19808.52;-183.23;31659.4;4808.5;0.0;-4.87;-18.5;3.56;0.0;0.0
16;07:30;0.58;22.37;0.0;0.0;13208.44;-13208.44;-122.18;30552.0;4504.4;0.0;-5.02;-18.5;3.54;0.0;0.0
17;08:00;0.59;22.37;0.0;0.0;12612.08;-12612.08;-53.6;30752.5;3706.7;0.0;-5.34;-8.5;3.48;0.0;0.0
18;08:30;0.64;22.37;0.0;0.0;11994.94;-11994.94;-50.98;32351.0;2381.3;0.0;-5.84;-8.5;3.39;0.0;0.0
19;09:00;0.67;22.37;0.0;0.0;12142.9;-12142.9;-0.61;33604.5;2059.7;0.0;-6.03;-0.1;3.36;0.0;0.0
20;09:30;0.68;22.37;0.0;0.0;13075.65;-13075.65;-0.65;34489.4;2811.4;0.0;-5.88;-0.1;3.38;0.0;0.0
21;10:00;0.67;22.37;0.0;0.0;13628.59;-13628.59;27.26;33995.8;3641.3;0.0;-5.63;4.0;3.43;0.0;0.0
22;10:30;0.62;22.37;0.0;0.0;13798.33;-13798.33;27.6;32028.9;4555.1;0.0;-5.28;4.0;3.49;0.0;0.0
23;11:00;0.56;22.37;0.0;0.0;13075.38;-13075.38;54.26;29324.5;4736.9;0.0;-4.98;8.3;3.54;0.0;0.0
24;11:30;0.48;22.37;0.0;0.0;11397.01;-11397.01;47.3;25831.8;4136.3;0.0;-4.73;8.3;3.59;0.0;0.0
25;12:00;0.44;22.37;0.0;0.0;10453.03;-10453.03;37.11;23821.7;3803.6;0.0;-4.58;7.1;3.62;0.0;0.0
26;12:30;0.43;22.37;0.0;0.0;10272.85;-10272.85;36.47;23396.5;3757.2;0.0;-4.53;7.1;3.63;0.0;0.0
27;13:00;0.46;22.37;0.0;0.0;10618.07;-10618.07;-9.03;24791.0;3743.1;0.0;-4.45;-1.7;3.64;0.0;0.0
28;13:30;0.52;22.37;0.0;0.0;11517.93;-11517.93;-9.79;28130.7;3763.5;0.0;-4.35;-1.7;3.66;0.0;0.0
29;14:00;0.52;22.37;0.0;0.0;11919.63;-11919.63;-10.13;28551.9;4088.6;0.0;-4.25;-1.7;3.67;0.0;0.0
30;14:30;0.47;22.37;0.0;0.0;11801.42;-11801.42;-10.03;25853.3;4739.3;0.0;-4.15;-1.7;3.69;0.0;0.0
31;15:00;0.45;22.37;0.0;0.0;11783.26;-11783.26;-20.03;24887.4;5007.8;0.0;-4.08;-3.4;3.71;0.0;0.0
32;15:30;0.47;22.37;0.0;0.0;11865.19;-11865.19;-20.17;25773.9;4867.5;0.0;-4.03;-3.4;3.72;0.0;0.0
33;16:00;0.48;22.37;0.0;0.0;12094.29;-12094.29;-6.05;26833.1;4837.6;0.0;-3.95;-1.0;3.73;0.0;0.0
34;16:30;0.5;22.37;0.0;0.0;12479.45;-12479.45;-6.24;28077.0;4925.6;0.0;-3.85;-1.0;3.75;0.0;0.0
