timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;chargingPowerEV;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_SOCofEV;simulationResult_energyLevelOfEV;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];Availability of the EV;Energy Consumption of the EV;thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;0.0;0.0;21.59;124.57;40.0;24.0;0.0;0.0;130.02;-130.02;-0.1;1999.2;0.0;130.0;1.0;0.0;0.0;-2.0;-1.5;4.08;1.38;0.0;0.0
2;00:30;0.0;0.0;0.0;21.39;124.14;40.0;24.0;0.0;0.0;134.5;-134.5;-0.1;2635.8;0.0;134.5;1.0;0.0;0.11;-2.0;-1.5;4.08;1.38;0.0;0.0
3;01:00;0.2;0.0;4700.0;21.34;123.71;43.49;26.09;0.0;0.0;5427.56;-5427.56;-10.04;3038.8;0.0;127.6;1.0;0.0;0.16;-2.05;-3.7;4.07;1.37;0.0;0.0
4;01:30;1.0;0.0;4700.0;22.02;123.28;46.97;28.18;0.0;0.0;7809.66;-7809.66;-14.45;3196.1;0.0;109.7;1.0;0.0;0.0;-2.15;-3.7;4.05;1.35;0.0;0.0
5;02:00;0.64;0.0;4700.0;22.36;122.85;50.46;30.27;0.0;0.0;6720.84;-6720.84;-19.15;3206.0;0.0;109.2;1.0;0.0;0.0;-2.3;-5.7;4.03;1.33;0.0;0.0
6;02:30;0.0;1.0;4700.0;22.13;159.46;53.94;32.37;0.0;0.0;7830.25;-7830.25;-22.32;3037.5;0.0;130.3;1.0;0.0;0.0;-2.5;-5.7;3.99;1.29;0.0;0.0
7;03:00;1.0;0.0;4700.0;22.79;159.03;57.43;34.46;0.0;0.0;7847.43;-7847.43;-26.29;3079.9;0.0;147.4;1.0;0.0;0.29;-2.72;-6.7;3.95;1.25;0.0;0.0
8;03:30;0.0;1.0;329.47;22.53;193.19;57.67;34.6;0.0;0.0;3489.51;-3489.51;-11.69;3444.9;0.0;160.0;1.0;0.0;0.03;-2.97;-6.7;3.91;1.21;0.0;0.0
9;04:00;0.0;1.0;0.0;22.24;225.94;57.67;34.6;0.0;0.0;3281.32;-3281.32;-9.35;3714.8;0.0;281.3;1.0;0.0;0.0;-3.24;-5.7;3.86;1.16;0.0;0.0
10;04:30;1.0;0.0;0.0;22.8;225.5;57.67;34.6;0.0;0.0;3513.63;-3513.63;-10.01;4033.1;0.0;513.6;1.0;0.0;0.3;-3.54;-5.7;3.8;1.1;0.0;0.0
11;05:00;0.2;0.0;0.0;22.61;225.07;57.67;34.6;0.0;0.0;1356.88;-1356.88;-1.56;4628.4;0.0;756.9;1.0;0.0;0.11;-3.8;-2.3;3.76;1.06;0.0;0.0
12;05:30;0.2;0.0;0.0;22.37;224.64;57.67;34.6;0.0;0.0;1635.26;-1635.26;-1.88;5424.3;0.0;1035.3;1.0;0.0;0.0;-4.0;-2.3;3.72;1.02;0.0;0.0
