timeslot;time of day;simulationResult_electricalLoad_combined;simulationResult_RESGeneration_combined;simulationResult_PVGeneration_combined;simulationResult_SurplusEnergy_combined;simulationResult_costs_combined
1;00:00;108787.57;0.0;0.0;0.0;543.94
2;00:30;34467.34;0.0;0.0;0.0;172.34
3;01:00;86589.76;0.0;0.0;0.0;515.21
4;01:30;60787.04;0.0;0.0;0.0;361.68
5;02:00;45829.8;0.0;0.0;0.0;219.98
6;02:30;46772.57;0.0;0.0;0.0;224.51
7;03:00;56859.23;0.0;0.0;0.0;221.75
8;03:30;52416.96;0.0;0.0;0.0;204.43
9;04:00;74301.06;0.0;0.0;0.0;323.21
10;04:30;74340.28;0.0;0.0;0.0;323.38
11;05:00;99430.34;0.0;0.0;0.0;447.44
12;05:30;103416.0;0.0;0.0;0.0;465.37
13;06:00;114217.88;0.0;0.0;0.0;1056.52
14;06:30;118112.02;0.0;0.0;0.0;1092.54
15;07:00;118367.68;0.0;0.0;0.0;1929.39
16;07:30;127413.59;0.0;0.0;0.0;2076.84
17;08:00;125826.14;0.0;0.0;0.0;1786.73
18;08:30;118756.6;0.0;0.0;0.0;1686.34
19;09:00;105075.33;0.0;0.0;0.0;1402.76
20;09:30;117269.37;0.0;0.0;0.0;1565.55
21;10:00;117238.84;0.0;0.0;0.0;1576.86
22;10:30;115874.02;0.0;0.0;0.0;1558.51
23;11:00;108855.87;0.0;0.0;0.0;1638.28
24;11:30;122208.52;0.0;0.0;0.0;1839.24
25;12:00;126478.69;0.0;0.0;0.0;1865.56
26;12:30;116434.39;0.0;0.0;0.0;1717.41
27;13:00;110346.79;0.0;0.0;0.0;1566.92
28;13:30;111348.7;0.0;0.0;0.0;1581.15
29;14:00;107811.22;0.0;0.0;0.0;1487.79
30;14:30;104520.9;0.0;0.0;0.0;1442.39
31;15:00;116472.48;0.0;0.0;0.0;1624.79
32;15:30;115732.41;0.0;0.0;0.0;1614.47
33;16:00;123148.57;0.0;0.0;0.0;1754.87
34;16:30;122749.7;0.0;0.0;0.0;1749.18
35;17:00;111710.75;0.0;0.0;0.0;1781.79
36;17:30;127223.8;0.0;0.0;0.0;2029.22
37;18:00;124967.75;0.0;0.0;0.0;1949.5
38;18:30;114891.3;0.0;0.0;0.0;1792.3
39;19:00;111968.7;0.0;0.0;0.0;1785.9
40;19:30;128053.31;0.0;0.0;0.0;2042.45
41;20:00;121701.91;0.0;0.0;0.0;1734.25
42;20:30;123943.44;0.0;0.0;0.0;1766.19
43;21:00;105950.56;0.0;0.0;0.0;1329.68
44;21:30;96164.16;0.0;0.0;0.0;1206.86
45;22:00;90073.24;0.0;0.0;0.0;900.73
46;22:30;58437.85;0.0;0.0;0.0;584.38
47;23:00;56252.78;0.0;0.0;0.0;368.46
48;23:30;49559.7;0.0;0.0;0.0;324.62
