timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;chargingPowerEV;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_SOCofEV;simulationResult_energyLevelOfEV;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];Availability of the EV;Energy Consumption of the EV;thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;0.2;4700.0;21.6;133.42;43.49;26.09;0.0;0.0;5429.43;-5429.43;27.15;1963.5;0.0;129.4;1.0;0.0;0.0;-1.1;10.0;4.24;1.54;0.0;0.0
2;00:30;0.0;0.0;0.0;21.42;132.99;43.49;26.09;0.0;0.0;122.5;-122.5;0.61;2219.3;0.0;122.5;1.0;0.0;0.08;-1.1;10.0;4.24;1.54;0.0;0.0
3;01:00;0.0;0.0;0.0;21.24;132.56;43.49;26.09;0.0;0.0;123.67;-123.67;0.74;2409.1;0.0;123.7;1.0;0.0;0.26;-1.1;11.9;4.24;1.54;0.0;0.0
4;01:30;1.0;0.0;0.0;22.01;132.13;43.49;26.09;0.0;0.0;3133.47;-3133.47;18.64;2528.6;0.0;133.5;1.0;0.0;0.0;-1.1;11.9;4.24;1.54;0.0;0.0
5;02:00;0.2;0.0;0.0;22.0;131.7;43.49;26.09;0.0;0.0;734.99;-734.99;3.53;2696.3;0.0;135.0;1.0;0.0;0.0;-1.15;9.6;4.23;1.53;0.0;0.0
6;02:30;0.2;0.0;0.0;21.96;131.27;43.49;26.09;0.0;0.0;727.63;-727.63;3.49;2915.6;0.0;127.6;1.0;0.0;0.0;-1.25;9.6;4.22;1.52;0.0;0.0
7;03:00;0.0;0.65;0.0;21.73;159.1;43.49;26.09;0.0;0.0;2074.38;-2074.38;8.09;2970.4;0.0;118.2;1.0;0.0;0.0;-1.28;7.8;4.21;1.51;0.0;0.0
8;03:30;0.55;0.0;0.0;22.05;158.67;43.49;26.09;0.0;0.0;1770.05;-1770.05;6.9;2849.2;0.0;106.6;1.0;0.0;0.0;-1.23;7.8;4.22;1.52;0.0;0.0
9;04:00;0.48;0.0;0.0;22.28;158.24;43.49;26.09;0.0;0.0;1528.99;-1528.99;6.65;2997.0;0.0;102.9;1.0;0.0;0.0;-1.18;8.7;4.23;1.53;0.0;0.0
10;04:30;0.51;0.0;0.0;22.51;157.81;43.49;26.09;0.0;0.0;1635.12;-1635.12;7.11;3432.4;0.0;107.8;1.0;0.0;0.01;-1.13;8.7;4.24;1.54;0.0;0.0
11;05:00;0.28;0.0;0.0;22.51;157.38;43.49;26.09;0.0;0.0;944.01;-944.01;4.25;3469.9;0.0;117.1;1.0;0.0;0.01;-1.05;9.0;4.25;1.55;0.0;0.0
12;05:30;0.0;0.0;0.0;22.27;156.95;43.49;26.09;0.0;0.0;131.09;-131.09;0.59;3082.1;0.0;131.1;1.0;0.0;0.0;-0.95;9.0;4.27;1.57;0.0;0.0
13;06:00;0.0;0.0;0.0;22.02;156.52;43.49;26.09;0.0;0.0;476.95;-476.95;4.41;3120.3;0.0;476.9;1.0;0.0;0.0;-0.88;18.5;4.28;1.58;0.0;0.0
14;06:30;0.0;0.0;2264.09;21.74;156.09;45.17;27.1;0.0;0.0;3441.67;-3441.67;31.84;3614.0;0.0;1177.6;1.0;0.0;0.0;-0.83;18.5;4.29;1.59;0.0;0.0
15;07:00;0.0;0.0;0.0;21.41;153.74;45.17;27.1;0.0;0.0;1498.06;-1498.06;24.42;4270.0;200.7;1498.1;1.0;0.0;0.09;-0.8;32.6;4.3;1.6;0.0;0.0
16;07:30;0.0;0.35;0.0;21.02;68.85;45.17;27.1;0.0;0.0;2456.02;-2456.02;40.03;5099.5;10494.0;1412.2;0.5;0.0;0.48;-0.8;32.6;4.3;1.6;0.0;0.0
17;08:00;0.68;0.0;0.0;21.28;68.42;44.63;26.78;0.0;0.0;3190.56;-3190.56;45.31;5329.9;0.0;1148.4;0.0;1145454.5454545456;0.22;-0.78;28.4;4.3;1.6;0.0;0.0
18;08:30;0.0;0.68;0.0;20.9;99.43;44.1;26.46;0.0;0.0;2736.56;-2736.56;38.86;4920.1;0.0;694.4;0.0;1145454.5454545456;0.6;-0.73;28.4;4.31;1.61;0.0;0.0
19;09:00;0.0;0.0;0.0;20.52;99.0;43.57;26.14;0.0;0.0;451.94;-451.94;6.03;4981.3;0.0;451.9;0.0;1145454.5454545456;0.98;-0.68;26.7;4.32;1.62;0.0;0.0
20;09:30;1.0;0.0;0.0;21.08;98.57;43.04;25.83;0.0;0.0;3435.62;-3435.62;45.87;5546.3;0.0;435.6;0.0;1145454.5454545456;0.42;-0.63;26.7;4.33;1.63;0.0;0.0
21;10:00;0.44;0.0;0.0;21.08;98.14;42.51;25.51;0.0;0.0;1924.39;-1924.39;25.88;5734.3;0.0;591.6;0.0;1145454.5454545456;0.42;-0.58;26.9;4.34;1.64;0.0;0.0
22;10:30;0.43;0.0;0.0;21.08;97.71;41.98;25.19;0.0;0.0;2212.42;-2212.42;29.76;5519.6;0.0;931.8;0.0;1145454.5454545456;0.42;-0.53;26.9;4.35;1.65;0.0;0.0
