timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;chargingPowerEV;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_SOCofEV;simulationResult_energyLevelOfEV;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];Availability of the EV;Energy Consumption of the EV;thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;0.2;4700.0;21.58;133.42;43.49;26.09;0.0;0.0;5443.79;-5443.79;27.22;2135.9;0.0;143.8;1.0;0.0;0.0;-1.1;10.0;4.24;1.54;0.0;0.0
2;00:30;0.0;0.0;0.0;21.39;132.99;43.49;26.09;0.0;0.0;143.11;-143.11;0.72;2432.3;0.0;143.1;1.0;0.0;0.11;-1.1;10.0;4.24;1.54;0.0;0.0
3;01:00;1.0;0.0;0.0;22.15;132.56;43.49;26.09;0.0;0.0;3143.75;-3143.75;18.71;2818.6;0.0;143.7;1.0;0.0;0.0;-1.1;11.9;4.24;1.54;0.0;0.0
4;01:30;0.2;0.0;0.0;22.09;132.13;43.49;26.09;0.0;0.0;745.81;-745.81;4.44;3300.9;0.0;145.8;1.0;0.0;0.0;-1.1;11.9;4.24;1.54;0.0;0.0
5;02:00;0.2;0.0;0.0;22.01;131.7;43.49;26.09;0.0;0.0;743.55;-743.55;3.57;3542.3;0.0;143.6;1.0;0.0;0.0;-1.15;9.6;4.23;1.53;0.0;0.0
6;02:30;0.2;0.0;0.0;21.93;131.27;43.49;26.09;0.0;0.0;736.69;-736.69;3.54;3526.2;0.0;136.7;1.0;0.0;0.0;-1.25;9.6;4.22;1.52;0.0;0.0
7;03:00;0.61;0.0;0.0;22.24;130.84;43.49;26.09;0.0;0.0;1945.74;-1945.74;7.59;3489.0;0.0;128.8;1.0;0.0;0.0;-1.28;7.8;4.21;1.51;0.0;0.0
8;03:30;0.6;0.0;0.0;22.56;130.41;43.49;26.09;0.0;0.0;1920.84;-1920.84;7.49;3429.1;0.0;119.9;1.0;0.0;0.06;-1.23;7.8;4.22;1.52;0.0;0.0
9;04:00;0.51;0.0;2214.15;22.79;129.98;45.13;27.08;0.0;0.0;3887.64;-3887.64;16.91;3455.6;0.0;138.9;1.0;0.0;0.29;-1.18;8.7;4.23;1.53;0.0;0.0
10;04:30;0.52;0.0;0.0;23.02;129.55;45.13;27.08;0.0;0.0;1748.71;-1748.71;7.61;3574.5;0.0;187.9;1.0;0.0;0.52;-1.13;8.7;4.24;1.54;0.0;0.0
