timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;1.0;0.0;22.54;124.57;0.0;0.0;3134.06;-3134.06;15.67;2367.8;0.0;134.1;0.04;-1.1;10.0;4.24;1.54;0.0;0.0
2;00:30;0.0;0.94;22.34;165.95;0.0;0.0;2967.8;-2967.8;14.84;2555.8;0.0;133.4;0.0;-1.1;10.0;4.24;1.54;0.0;0.0
3;01:00;0.69;0.0;22.8;165.52;0.0;0.0;2194.28;-2194.28;13.06;2689.3;0.0;133.6;0.3;-1.1;11.9;4.24;1.54;0.0;0.0
4;01:30;0.0;0.2;22.58;173.94;0.0;0.0;732.91;-732.91;4.36;2840.1;0.0;132.9;0.08;-1.1;11.9;4.24;1.54;0.0;0.0
5;02:00;0.2;0.0;22.54;173.51;0.0;0.0;733.35;-733.35;3.52;2974.9;0.0;133.4;0.04;-1.15;9.6;4.23;1.53;0.0;0.0
6;02:30;0.2;0.0;22.49;173.08;0.0;0.0;732.2;-732.2;3.51;3114.6;0.0;132.2;0.0;-1.25;9.6;4.22;1.52;0.0;0.0
7;03:00;0.2;0.0;22.44;172.65;0.0;0.0;733.04;-733.04;2.86;3207.3;0.0;133.0;0.0;-1.28;7.8;4.21;1.51;0.0;0.0
8;03:30;0.2;0.0;22.38;172.22;0.0;0.0;733.75;-733.75;2.86;3286.9;0.0;133.8;0.0;-1.23;7.8;4.22;1.52;0.0;0.0
9;04:00;0.2;0.0;22.31;171.79;0.0;0.0;743.44;-743.44;3.23;3371.5;0.0;143.4;0.0;-1.18;8.7;4.23;1.53;0.0;0.0
10;04:30;0.77;0.0;22.8;171.36;0.0;0.0;2489.97;-2489.97;10.83;3400.8;0.0;166.2;0.3;-1.13;8.7;4.24;1.54;0.0;0.0
11;05:00;0.28;0.0;22.8;170.93;0.0;0.0;1471.72;-1471.72;6.62;3498.9;0.0;638.0;0.3;-1.05;9.0;4.25;1.55;0.0;0.0
12;05:30;0.2;0.0;22.72;170.5;0.0;0.0;2171.0;-2171.0;9.77;3539.6;0.0;1571.0;0.22;-0.95;9.0;4.27;1.57;0.0;0.0
13;06:00;0.2;0.0;22.62;167.05;0.0;0.0;2519.88;-2519.88;23.31;3890.8;315.9;1919.9;0.12;-0.88;18.5;4.28;1.58;0.0;0.0
14;06:30;0.0;0.0;22.27;166.62;0.0;0.0;1646.25;-1646.25;15.23;4519.4;0.0;1646.3;0.0;-0.83;18.5;4.29;1.59;0.0;0.0
