timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;chargingPowerEV;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_SOCofEV;simulationResult_energyLevelOfEV;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];Availability of the EV;Energy Consumption of the EV;thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;0.2;4700.0;21.52;133.42;43.49;26.09;0.0;0.0;5418.93;-5418.93;27.09;2924.6;0.0;118.9;1.0;0.0;0.0;-1.1;10.0;4.24;1.54;0.0;0.0
2;00:30;0.0;0.0;0.0;21.28;132.99;43.49;26.09;0.0;0.0;133.92;-133.92;0.67;3079.2;0.0;133.9;1.0;0.0;0.22;-1.1;10.0;4.24;1.54;0.0;0.0
3;01:00;1.0;0.0;0.0;22.02;132.56;43.49;26.09;0.0;0.0;3132.19;-3132.19;18.64;3081.1;0.0;132.2;1.0;0.0;0.0;-1.1;11.9;4.24;1.54;0.0;0.0
4;01:30;0.2;0.0;0.0;21.98;132.13;43.49;26.09;0.0;0.0;715.16;-715.16;4.26;2956.8;0.0;115.2;1.0;0.0;0.0;-1.1;11.9;4.24;1.54;0.0;0.0
5;02:00;0.43;0.0;2350.0;22.16;131.7;45.23;27.14;0.0;0.0;3754.33;-3754.33;18.02;3107.8;0.0;113.4;1.0;0.0;0.0;-1.15;9.6;4.23;1.53;0.0;0.0
6;02:30;0.48;0.0;0.0;22.36;131.27;45.23;27.14;0.0;0.0;1579.24;-1579.24;7.58;3422.1;0.0;127.8;1.0;0.0;0.0;-1.25;9.6;4.22;1.52;0.0;0.0
7;03:00;0.55;0.0;0.0;22.63;130.84;45.23;27.14;0.0;0.0;1788.64;-1788.64;6.98;3447.8;0.0;136.0;1.0;0.0;0.13;-1.28;7.8;4.21;1.51;0.0;0.0
8;03:30;0.46;0.0;0.0;22.85;130.41;45.23;27.14;0.0;0.0;1529.63;-1529.63;5.97;2970.8;0.0;141.0;1.0;0.0;0.35;-1.23;7.8;4.22;1.52;0.0;0.0
9;04:00;0.44;0.0;0.0;23.04;129.98;45.23;27.14;0.0;0.0;1858.68;-1858.68;8.09;2997.2;0.0;546.7;1.0;0.0;0.54;-1.18;8.7;4.23;1.53;0.0;0.0
10;04:30;0.47;0.0;1856.41;23.23;129.55;46.61;27.96;0.0;0.0;4654.45;-4654.45;20.25;3463.8;0.0;1377.5;1.0;0.0;0.73;-1.13;8.7;4.24;1.54;0.0;0.0
11;05:00;0.31;0.0;0.0;23.23;129.12;46.61;27.96;0.0;0.0;2603.02;-2603.02;11.71;3859.0;0.0;1684.6;1.0;0.0;0.73;-1.05;9.0;4.25;1.55;0.0;0.0
12;05:30;0.34;0.0;0.0;23.23;128.69;46.61;27.96;0.0;0.0;2457.66;-2457.66;11.06;4290.9;0.0;1441.9;1.0;0.0;0.73;-0.95;9.0;4.27;1.57;0.0;0.0
13;06:00;0.34;0.0;0.0;23.23;128.25;46.61;27.96;0.0;0.0;2105.32;-2105.32;19.47;4349.8;0.0;1079.1;1.0;0.0;0.73;-0.88;18.5;4.28;1.58;0.0;0.0
14;06:30;0.32;0.0;0.0;23.23;127.82;46.61;27.96;0.0;0.0;1629.54;-1629.54;15.07;4128.0;0.0;657.1;1.0;0.0;0.73;-0.83;18.5;4.29;1.59;0.0;0.0
15;07:00;0.0;0.0;0.0;22.88;83.75;46.61;27.96;0.0;0.0;493.51;-493.51;8.04;4488.8;4561.6;493.5;1.0;0.0;0.38;-0.8;32.6;4.3;1.6;0.0;0.0
16;07:30;0.0;0.0;0.0;22.47;80.75;46.61;27.96;0.0;0.0;594.1;-594.1;9.68;5412.9;268.8;594.1;1.0;0.0;0.0;-0.8;32.6;4.3;1.6;0.0;0.0
17;08:00;0.42;0.0;0.0;22.47;80.32;46.61;27.96;0.0;0.0;2018.51;-2018.51;28.66;5388.6;0.0;755.0;1.0;0.0;0.0;-0.78;28.4;4.3;1.6;0.0;0.0
