timeslot;time of day;heatGenerationCoefficientSpaceHeating;temperatureBufferStorage;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);numberOfStarts_HP;HP_isRunning
1;00:00;0.2;21.79;0.0;0.0;5560.48;-5560.48;27.8;9511.9;2560.5;0.0;-1.1;10.0;4.24;0.0;0.0
2;00:30;0.2;21.83;0.0;0.0;5003.12;-5003.12;25.02;8504.9;2003.1;0.0;-1.1;10.0;4.24;0.0;0.0
3;01:00;0.2;21.88;0.0;0.0;4721.32;-4721.32;28.09;8458.7;1721.3;0.0;-1.1;11.9;4.24;0.0;0.0
4;01:30;0.2;21.92;0.0;0.0;4734.07;-4734.07;28.17;9439.6;1734.1;0.0;-1.1;11.9;4.24;0.0;0.0
5;02:00;0.2;21.95;0.0;0.0;4651.27;-4651.27;22.33;10173.3;1651.3;0.0;-1.15;9.6;4.23;0.0;0.0
6;02:30;0.2;21.97;0.0;0.0;4466.34;-4466.34;21.44;10642.7;1466.3;0.0;-1.25;9.6;4.22;0.0;0.0
7;03:00;1.0;22.59;0.0;0.0;16596.53;-16596.53;64.73;10946.3;1596.5;0.09;-1.28;7.8;4.21;0.0;0.0
8;03:30;0.86;23.1;0.0;0.0;14963.59;-14963.59;58.36;11072.5;2063.6;0.6;-1.23;7.8;4.22;0.0;0.0
9;04:00;0.52;23.34;0.0;0.0;10187.37;-10187.37;44.32;12449.2;2387.4;0.84;-1.18;8.7;4.23;0.0;0.0
10;04:30;0.52;23.55;0.0;0.0;10358.0;-10358.0;45.06;15162.6;2558.0;1.05;-1.13;8.7;4.24;0.0;0.0
11;05:00;0.0;23.34;0.0;0.0;3528.25;-3528.25;15.88;17610.9;3528.2;0.84;-1.05;9.0;4.25;0.0;0.0
12;05:30;0.2;23.25;0.0;0.0;8353.28;-8353.28;37.59;19776.0;5353.3;0.75;-0.95;9.0;4.27;0.0;0.0
13;06:00;0.33;23.25;0.0;0.0;11171.89;-11171.89;103.34;21156.2;6179.0;0.75;-0.88;18.5;4.28;0.0;0.0
14;06:30;0.34;23.25;0.0;0.0;11045.09;-11045.09;102.17;21697.4;5936.6;0.75;-0.83;18.5;4.29;0.0;0.0
