timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;chargingPowerEV;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_SOCofEV;simulationResult_energyLevelOfEV;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];Availability of the EV;Energy Consumption of the EV;thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;0.2;4700.0;21.58;133.42;43.49;26.09;0.0;0.0;5444.32;-5444.32;27.22;2125.8;0.0;144.3;1.0;0.0;0.0;-1.1;10.0;4.24;1.54;0.0;0.0
2;00:30;0.0;0.0;0.0;21.4;132.99;43.49;26.09;0.0;0.0;142.87;-142.87;0.71;2421.9;0.0;142.9;1.0;0.0;0.1;-1.1;10.0;4.24;1.54;0.0;0.0
3;01:00;1.0;0.0;0.0;22.15;132.56;43.49;26.09;0.0;0.0;3143.03;-3143.03;18.7;2805.6;0.0;143.0;1.0;0.0;0.0;-1.1;11.9;4.24;1.54;0.0;0.0
4;01:30;0.2;0.0;0.0;22.09;132.13;43.49;26.09;0.0;0.0;744.98;-744.98;4.43;3237.8;0.0;145.0;1.0;0.0;0.0;-1.1;11.9;4.24;1.54;0.0;0.0
5;02:00;0.2;0.0;0.0;22.02;131.7;43.49;26.09;0.0;0.0;743.38;-743.38;3.57;3515.2;0.0;143.4;1.0;0.0;0.0;-1.15;9.6;4.23;1.53;0.0;0.0
6;02:30;0.2;0.0;0.0;21.94;131.27;43.49;26.09;0.0;0.0;736.56;-736.56;3.54;3500.3;0.0;136.6;1.0;0.0;0.0;-1.25;9.6;4.22;1.52;0.0;0.0
7;03:00;0.86;0.0;0.0;22.5;130.84;43.49;26.09;0.0;0.0;2696.4;-2696.4;10.52;3486.6;0.0;129.5;1.0;0.0;0.0;-1.28;7.8;4.21;1.51;0.0;0.0
8;03:30;0.7;0.0;3961.16;22.91;130.41;46.42;27.85;0.0;0.0;6193.85;-6193.85;24.16;3418.8;0.0;118.4;1.0;0.0;0.41;-1.23;7.8;4.22;1.52;0.0;0.0
9;04:00;0.59;0.0;3102.0;23.22;129.98;48.72;29.23;0.0;0.0;5005.25;-5005.25;21.77;3404.9;0.0;139.8;1.0;0.0;0.72;-1.18;8.7;4.23;1.53;0.0;0.0
10;04:30;0.23;0.0;0.0;23.17;129.55;48.72;29.23;0.0;0.0;886.63;-886.63;3.86;3556.5;0.0;189.1;1.0;0.0;0.67;-1.13;8.7;4.24;1.54;0.0;0.0
11;05:00;0.54;0.0;0.0;23.42;129.12;48.72;29.23;0.0;0.0;2223.17;-2223.17;10.0;3631.9;0.0;598.5;1.0;0.0;0.92;-1.05;9.0;4.25;1.55;0.0;0.0
12;05:30;0.6;0.0;0.0;23.73;128.69;48.72;29.23;0.0;0.0;3183.68;-3183.68;14.33;3622.8;0.0;1375.2;1.0;0.0;1.23;-0.95;9.0;4.27;1.57;0.0;0.0
13;06:00;0.29;0.0;0.0;23.73;128.25;48.72;29.23;0.0;0.0;2672.46;-2672.46;24.72;3742.0;0.0;1788.1;1.0;0.0;1.23;-0.88;18.5;4.28;1.58;0.0;0.0
14;06:30;0.32;0.0;0.0;23.73;127.82;48.72;29.23;0.0;0.0;2780.95;-2780.95;25.72;4027.6;0.0;1831.9;1.0;0.0;1.23;-0.83;18.5;4.29;1.59;0.0;0.0
15;07:00;0.0;0.0;0.0;23.4;118.35;48.72;29.23;0.0;0.0;1519.5;-1519.5;24.77;4206.7;945.7;1519.5;1.0;0.0;0.9;-0.8;32.6;4.3;1.6;0.0;0.0
16;07:30;0.0;0.0;0.0;23.08;109.43;48.72;29.23;0.0;0.0;858.84;-858.84;14.0;4098.5;887.4;858.8;1.0;0.0;0.58;-0.8;32.6;4.3;1.6;0.0;0.0
