timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;0.2;21.6;133.42;0.0;0.0;729.12;-729.12;3.65;1944.7;0.0;129.1;0.0;-1.1;10.0;4.24;1.54;0.0;0.0
2;00:30;0.0;0.0;21.43;132.99;0.0;0.0;121.82;-121.82;0.61;2210.4;0.0;121.8;0.07;-1.1;10.0;4.24;1.54;0.0;0.0
3;01:00;0.0;0.0;21.24;132.56;0.0;0.0;123.58;-123.58;0.74;2389.0;0.0;123.6;0.26;-1.1;11.9;4.24;1.54;0.0;0.0
4;01:30;1.0;0.0;22.02;132.13;0.0;0.0;3133.88;-3133.88;18.65;2502.5;0.0;133.9;0.0;-1.1;11.9;4.24;1.54;0.0;0.0
5;02:00;0.47;0.0;22.27;131.7;0.0;0.0;1544.85;-1544.85;7.42;2648.7;0.0;134.8;0.0;-1.15;9.6;4.23;1.53;0.0;0.0
6;02:30;0.0;0.27;22.04;143.01;0.0;0.0;937.68;-937.68;4.5;2897.3;0.0;127.7;0.0;-1.25;9.6;4.22;1.52;0.0;0.0
7;03:00;0.0;0.2;21.82;151.25;0.0;0.0;717.66;-717.66;2.8;2923.9;0.0;117.7;0.0;-1.28;7.8;4.21;1.51;0.0;0.0
8;03:30;0.22;0.0;21.82;150.82;0.0;0.0;776.28;-776.28;3.03;2784.6;0.0;105.6;0.0;-1.23;7.8;4.22;1.52;0.0;0.0
9;04:00;0.33;0.0;21.91;150.39;0.0;0.0;1105.45;-1105.45;4.81;2960.4;0.0;103.6;0.0;-1.18;8.7;4.23;1.53;0.0;0.0
10;04:30;0.0;0.37;21.65;166.28;0.0;0.0;1217.29;-1217.29;5.3;3366.5;0.0;107.3;0.0;-1.13;8.7;4.24;1.54;0.0;0.0
11;05:00;0.33;0.0;21.71;165.85;0.0;0.0;1111.86;-1111.86;5.0;3449.0;0.0;117.3;0.0;-1.05;9.0;4.25;1.55;0.0;0.0
12;05:30;0.24;0.0;21.71;165.42;0.0;0.0;863.8;-863.8;3.89;3081.0;0.0;131.5;0.0;-0.95;9.0;4.27;1.57;0.0;0.0
13;06:00;0.24;0.0;21.71;164.99;0.0;0.0;1209.46;-1209.46;11.19;3088.7;0.0;477.7;0.0;-0.88;18.5;4.28;1.58;0.0;0.0
14;06:30;0.28;0.0;21.71;164.56;0.0;0.0;2020.06;-2020.06;18.69;3568.6;0.0;1178.0;0.0;-0.83;18.5;4.29;1.59;0.0;0.0
15;07:00;0.0;0.0;21.38;162.31;0.0;0.0;1488.61;-1488.61;24.26;4259.0;190.7;1488.6;0.12;-0.8;32.6;4.3;1.6;0.0;0.0
16;07:30;0.0;0.63;20.99;106.22;0.0;0.0;3301.59;-3301.59;53.82;5017.8;8833.7;1411.6;0.51;-0.8;32.6;4.3;1.6;0.0;0.0
17;08:00;1.0;0.0;21.57;105.79;0.0;0.0;4146.69;-4146.69;58.88;5263.9;0.0;1146.7;0.0;-0.78;28.4;4.3;1.6;0.0;0.0
18;08:30;0.2;0.0;21.39;105.36;0.0;0.0;1296.42;-1296.42;18.41;4863.2;0.0;696.4;0.11;-0.73;28.4;4.31;1.61;0.0;0.0
19;09:00;0.2;0.0;21.21;104.93;0.0;0.0;1053.31;-1053.31;14.06;4942.0;0.0;453.3;0.29;-0.68;26.7;4.32;1.62;0.0;0.0
20;09:30;0.43;0.0;21.21;104.5;0.0;0.0;1714.52;-1714.52;22.89;5475.2;0.0;438.9;0.29;-0.63;26.7;4.33;1.63;0.0;0.0
21;10:00;0.44;0.0;21.21;104.07;0.0;0.0;1906.39;-1906.39;25.64;5639.2;0.0;595.6;0.29;-0.58;26.9;4.34;1.64;0.0;0.0
22;10:30;0.42;0.0;21.21;103.64;0.0;0.0;2208.12;-2208.12;29.7;5475.6;0.0;937.6;0.29;-0.53;26.9;4.35;1.65;0.0;0.0
23;11:00;0.0;0.0;20.81;103.21;0.0;0.0;974.3;-974.3;14.66;5212.4;0.0;974.3;0.69;-0.5;30.1;4.35;1.65;0.0;0.0
24;11:30;0.0;0.73;20.43;97.49;0.0;0.0;2856.23;-2856.23;42.99;4855.0;4166.7;666.2;1.07;-0.5;30.1;4.35;1.65;0.0;0.0
25;12:00;1.0;0.0;21.09;96.35;0.0;0.0;3911.8;-3911.8;57.7;4351.7;73.6;911.8;0.41;-0.52;29.5;4.35;1.65;0.0;0.0
26;12:30;0.2;0.0;21.0;92.9;0.0;0.0;2302.95;-2302.95;33.97;3725.7;315.9;1702.9;0.5;-0.57;29.5;4.34;1.64;0.0;0.0
27;13:00;0.2;0.0;20.93;92.47;0.0;0.0;2317.31;-2317.31;32.91;3546.3;0.0;1717.3;0.57;-0.65;28.4;4.32;1.62;0.0;0.0
28;13:30;0.29;0.0;20.93;92.04;0.0;0.0;1739.97;-1739.97;24.71;3744.3;0.0;859.8;0.57;-0.75;28.4;4.31;1.61;0.0;0.0
29;14:00;0.31;0.0;20.93;91.61;0.0;0.0;1459.54;-1459.54;20.14;3912.2;0.0;536.5;0.57;-0.85;27.6;4.29;1.59;0.0;0.0
30;14:30;0.32;0.0;20.93;91.18;0.0;0.0;1730.27;-1730.27;23.88;4024.3;0.0;777.1;0.57;-0.95;27.6;4.27;1.57;0.0;0.0
31;15:00;0.35;0.0;20.93;90.75;0.0;0.0;1932.85;-1932.85;26.96;4381.3;0.0;894.9;0.57;-0.98;27.9;4.26;1.56;0.0;0.0
32;15:30;0.38;0.0;20.93;90.32;0.0;0.0;2053.61;-2053.61;28.65;4873.7;0.0;902.6;0.57;-0.93;27.9;4.27;1.57;0.0;0.0
33;16:00;0.41;0.0;20.93;89.89;0.0;0.0;1956.8;-1956.8;27.88;5199.0;0.0;728.5;0.57;-0.95;28.5;4.27;1.57;0.0;0.0
34;16:30;0.41;0.0;20.93;89.45;0.0;0.0;1631.65;-1631.65;23.25;5174.8;0.0;403.8;0.57;-1.05;28.5;4.25;1.55;0.0;0.0
35;17:00;0.3;0.0;20.85;89.02;0.0;0.0;1372.59;-1372.59;21.89;4811.1;0.0;466.4;0.65;-1.15;31.9;4.23;1.53;0.0;0.0
36;17:30;0.33;0.0;20.85;88.59;0.0;0.0;1933.33;-1933.33;30.84;4066.7;0.0;957.9;0.65;-1.25;31.9;4.22;1.52;0.0;0.0
37;18:00;0.25;0.0;20.8;88.16;0.0;0.0;1803.57;-1803.57;28.14;3692.2;0.0;1065.3;0.7;-1.32;31.2;4.2;1.5;0.0;0.0
38;18:30;0.25;0.0;20.75;87.73;0.0;0.0;1488.2;-1488.2;23.22;3709.9;0.0;744.9;0.75;-1.37;31.2;4.19;1.49;0.0;0.0
39;19:00;0.31;0.0;20.75;87.3;0.0;0.0;1499.76;-1499.76;23.92;3825.3;0.0;576.6;0.75;-1.38;31.9;4.19;1.49;0.0;0.0
40;19:30;0.0;1.0;20.44;127.18;0.0;0.0;3560.34;-3560.34;56.79;4036.5;290.7;560.3;1.06;-1.33;31.9;4.2;1.5;0.0;0.0
41;20:00;1.0;0.0;21.11;126.75;0.0;0.0;3608.76;-3608.76;51.42;3765.5;0.0;608.8;0.39;-1.32;28.5;4.2;1.5;0.0;0.0
42;20:30;1.0;0.0;21.84;125.33;0.0;0.0;3717.55;-3717.55;52.98;2959.3;103.9;717.6;0.0;-1.37;28.5;4.19;1.49;0.0;0.0
43;21:00;0.2;0.0;21.82;124.9;0.0;0.0;1351.21;-1351.21;16.96;2815.6;0.0;751.2;0.0;-1.4;25.1;4.19;1.49;0.0;0.0
44;21:30;0.2;0.0;21.76;122.98;0.0;0.0;1325.39;-1325.39;16.63;3241.9;155.8;725.4;0.0;-1.4;25.1;4.19;1.49;0.0;0.0
45;22:00;0.28;0.0;21.76;122.54;0.0;0.0;1452.62;-1452.62;14.53;3423.6;0.0;621.8;0.0;-1.47;20.0;4.17;1.47;0.0;0.0
46;22:30;0.26;0.0;21.76;122.11;0.0;0.0;1235.05;-1235.05;12.35;3177.0;0.0;458.3;0.0;-1.62;20.0;4.15;1.45;0.0;0.0
47;23:00;0.23;0.0;21.76;121.68;0.0;0.0;990.34;-990.34;6.49;2747.8;0.0;313.3;0.0;-1.75;13.1;4.13;1.43;0.0;0.0
48;23:30;0.2;0.0;21.78;121.25;0.0;0.0;786.39;-786.39;5.15;2107.6;0.0;186.4;0.0;-1.85;13.1;4.11;1.41;0.0;0.0
