timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.2;0.0;21.77;124.57;0.0;0.0;925.88;-925.88;-0.69;2169.1;0.0;325.9;0.0;-2.0;-1.5;4.08;1.38;0.0;0.0
2;00:30;1.0;0.0;22.55;124.14;0.0;0.0;3184.1;-3184.1;-2.39;1928.6;0.0;184.1;0.05;-2.0;-1.5;4.08;1.38;0.0;0.0
3;01:00;0.2;0.0;22.6;123.71;0.0;0.0;713.37;-713.37;-1.32;1836.5;0.0;113.4;0.1;-2.05;-3.7;4.07;1.37;0.0;0.0
4;01:30;0.2;0.0;22.63;123.28;0.0;0.0;715.84;-715.84;-1.32;1949.3;0.0;115.8;0.13;-2.15;-3.7;4.05;1.35;0.0;0.0
5;02:00;0.2;0.0;22.65;122.85;0.0;0.0;715.21;-715.21;-2.04;2138.8;0.0;115.2;0.15;-2.3;-5.7;4.03;1.33;0.0;0.0
6;02:30;0.2;0.0;22.64;122.42;0.0;0.0;712.31;-712.31;-2.03;2494.7;0.0;112.3;0.14;-2.5;-5.7;3.99;1.29;0.0;0.0
7;03:00;0.0;1.0;22.41;157.87;0.0;0.0;3115.3;-3115.3;-10.44;2855.8;0.0;115.3;0.0;-2.72;-6.7;3.95;1.25;0.0;0.0
8;03:30;0.68;0.0;22.77;157.44;0.0;0.0;2164.92;-2164.92;-7.25;3324.6;0.0;125.5;0.27;-2.97;-6.7;3.91;1.21;0.0;0.0
9;04:00;0.0;1.0;22.49;190.18;0.0;0.0;3141.83;-3141.83;-8.95;3584.7;0.0;141.8;0.0;-3.24;-5.7;3.86;1.16;0.0;0.0
10;04:30;0.0;1.0;22.21;221.38;0.0;0.0;3157.48;-3157.48;-9.0;3565.8;0.0;157.5;0.0;-3.54;-5.7;3.8;1.1;0.0;0.0
11;05:00;1.0;0.0;22.8;220.95;0.0;0.0;3320.23;-3320.23;-3.82;3544.2;0.0;320.2;0.3;-3.8;-2.3;3.76;1.06;0.0;0.0
12;05:30;0.31;0.0;22.8;220.52;0.0;0.0;1587.77;-1587.77;-1.83;3461.9;0.0;645.2;0.3;-4.0;-2.3;3.72;1.02;0.0;0.0
13;06:00;0.34;0.0;22.8;220.09;0.0;0.0;1934.44;-1934.44;-25.73;3747.0;0.0;901.5;0.3;-4.27;-26.6;3.67;1.0;0.0;0.0
14;06:30;0.41;0.0;22.8;219.66;0.0;0.0;2318.52;-2318.52;-30.84;4376.0;0.0;1093.3;0.3;-4.62;-26.6;3.61;1.0;0.0;0.0
