timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;0.2;21.57;132.49;0.0;0.0;731.57;-731.57;-0.55;2331.0;0.0;131.6;0.0;-2.0;-1.5;4.08;1.38;0.0;0.0
2;00:30;0.0;0.0;21.35;132.06;0.0;0.0;129.41;-129.41;-0.1;2776.2;0.0;129.4;0.15;-2.0;-1.5;4.08;1.38;0.0;0.0
3;01:00;1.0;0.0;22.05;131.63;0.0;0.0;3131.67;-3131.67;-5.79;3077.9;0.0;131.7;0.0;-2.05;-3.7;4.07;1.37;0.0;0.0
4;01:30;0.2;0.0;21.99;131.2;0.0;0.0;743.54;-743.54;-1.38;3156.6;0.0;143.5;0.0;-2.15;-3.7;4.05;1.35;0.0;0.0
5;02:00;0.2;0.0;21.93;130.77;0.0;0.0;744.69;-744.69;-2.12;3139.7;0.0;144.7;0.0;-2.3;-5.7;4.03;1.33;0.0;0.0
6;02:30;0.26;0.0;21.93;130.34;0.0;0.0;912.26;-912.26;-2.6;3061.5;0.0;133.8;0.0;-2.5;-5.7;3.99;1.29;0.0;0.0
7;03:00;0.63;0.0;22.26;129.91;0.0;0.0;2148.32;-2148.32;-7.2;3134.5;0.0;263.4;0.0;-2.72;-6.7;3.95;1.25;0.0;0.0
8;03:30;0.65;0.0;22.58;129.48;0.0;0.0;2507.91;-2507.91;-8.4;3406.5;0.0;544.1;0.08;-2.97;-6.7;3.91;1.21;0.0;0.0
9;04:00;0.35;0.0;22.58;129.05;0.0;0.0;1816.15;-1816.15;-5.18;4010.3;0.0;764.4;0.08;-3.24;-5.7;3.86;1.16;0.0;0.0
10;04:30;0.43;0.0;22.58;128.62;0.0;0.0;2213.04;-2213.04;-6.31;4840.0;0.0;928.1;0.08;-3.54;-5.7;3.8;1.1;0.0;0.0
11;05:00;0.49;0.0;22.58;128.19;0.0;0.0;2368.33;-2368.33;-2.72;5473.7;0.0;899.3;0.08;-3.8;-2.3;3.76;1.06;0.0;0.0
12;05:30;0.52;0.0;22.58;127.76;0.0;0.0;2236.51;-2236.51;-2.57;5762.5;0.0;675.6;0.08;-4.0;-2.3;3.72;1.02;0.0;0.0
13;06:00;0.52;0.0;22.58;127.32;0.0;0.0;2061.86;-2061.86;-27.42;5657.3;0.0;508.8;0.08;-4.27;-26.6;3.67;1.0;0.0;0.0
14;06:30;0.48;0.0;22.58;126.89;0.0;0.0;1860.05;-1860.05;-24.74;5152.7;0.0;419.7;0.08;-4.62;-26.6;3.61;1.0;0.0;0.0
15;07:00;0.59;0.0;22.66;87.35;0.0;0.0;2093.59;-2093.59;-19.37;5256.0;4088.7;323.1;0.16;-4.87;-18.5;3.56;1.0;0.0;0.0
16;07:30;0.57;0.0;22.66;86.92;0.0;0.0;1919.86;-1919.86;-17.76;5972.7;0.0;218.0;0.16;-5.02;-18.5;3.54;1.0;0.0;0.0
