timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;chargingPowerEV;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_SOCofEV;simulationResult_energyLevelOfEV;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];Availability of the EV;Energy Consumption of the EV;thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;0.2;4700.0;21.58;132.49;43.49;26.09;0.0;0.0;5422.03;-5422.03;-4.07;2159.4;0.0;122.0;1.0;0.0;0.0;-2.0;-1.5;4.08;1.38;0.0;0.0
2;00:30;0.0;0.0;0.0;21.4;132.06;43.49;26.09;0.0;0.0;122.03;-122.03;-0.09;2374.9;0.0;122.0;1.0;0.0;0.1;-2.0;-1.5;4.08;1.38;0.0;0.0
3;01:00;1.0;0.0;0.0;22.13;131.63;43.49;26.09;0.0;0.0;3122.03;-3122.03;-5.78;2576.2;0.0;122.0;1.0;0.0;0.0;-2.05;-3.7;4.07;1.37;0.0;0.0
4;01:30;0.2;0.0;0.0;22.1;131.2;43.49;26.09;0.0;0.0;722.03;-722.03;-1.34;2762.4;0.0;122.0;1.0;0.0;0.0;-2.15;-3.7;4.05;1.35;0.0;0.0
5;02:00;0.2;0.0;0.0;22.06;130.77;43.49;26.09;0.0;0.0;729.32;-729.32;-2.08;2937.2;0.0;129.3;1.0;0.0;0.0;-2.3;-5.7;4.03;1.33;0.0;0.0
6;02:30;0.2;0.0;0.0;22.0;130.34;43.49;26.09;0.0;0.0;744.42;-744.42;-2.12;3099.9;0.0;144.4;1.0;0.0;0.0;-2.5;-5.7;3.99;1.29;0.0;0.0
7;03:00;0.2;0.0;0.0;21.93;129.91;43.49;26.09;0.0;0.0;752.21;-752.21;-2.52;3256.0;0.0;152.2;1.0;0.0;0.0;-2.72;-6.7;3.95;1.25;0.0;0.0
8;03:30;0.2;0.0;0.0;21.84;129.48;43.49;26.09;0.0;0.0;752.21;-752.21;-2.52;3405.1;0.0;152.2;1.0;0.0;0.0;-2.97;-6.7;3.91;1.21;0.0;0.0
9;04:00;0.31;0.0;0.0;21.84;129.05;43.49;26.09;0.0;0.0;1216.8;-1216.8;-3.47;3520.9;0.0;292.0;1.0;0.0;0.0;-3.24;-5.7;3.86;1.16;0.0;0.0
10;04:30;0.32;0.0;0.0;21.84;128.62;43.49;26.09;0.0;0.0;1540.24;-1540.24;-4.39;3601.1;0.0;581.2;1.0;0.0;0.0;-3.54;-5.7;3.8;1.1;0.0;0.0
11;05:00;0.36;0.0;0.0;21.84;128.19;43.49;26.09;0.0;0.0;1914.87;-1914.87;-2.2;3991.4;0.0;840.4;1.0;0.0;0.0;-3.8;-2.3;3.76;1.06;0.0;0.0
12;05:30;0.43;0.0;0.0;21.84;127.76;43.49;26.09;0.0;0.0;2346.3;-2346.3;-2.7;4713.4;0.0;1067.4;1.0;0.0;0.0;-4.0;-2.3;3.72;1.02;0.0;0.0
13;06:00;0.73;0.0;4606.0;22.05;127.32;46.9;28.14;0.0;0.0;7842.84;-7842.84;-104.31;5318.2;0.0;1040.8;1.0;0.0;0.0;-4.27;-26.6;3.67;1.0;0.0;0.0
14;06:30;0.79;0.0;0.0;22.26;126.89;46.9;28.14;0.0;0.0;3112.21;-3112.21;-41.39;5797.8;0.0;743.0;1.0;0.0;0.0;-4.62;-26.6;3.61;1.0;0.0;0.0
15;07:00;0.57;0.0;0.0;22.26;82.85;46.9;28.14;0.0;0.0;2232.13;-2232.13;-20.65;6005.8;4559.2;533.9;1.0;0.0;0.0;-4.87;-18.5;3.56;1.0;0.0;0.0
16;07:30;0.0;1.0;0.0;21.8;91.73;46.9;28.14;0.0;0.0;3419.39;-3419.39;-31.63;5923.3;2026.5;419.4;1.0;0.0;0.0;-5.02;-18.5;3.54;1.0;0.0;0.0
17;08:00;1.0;0.0;0.0;22.13;91.08;46.9;28.14;0.0;0.0;3313.93;-3313.93;-14.08;6116.5;22.7;313.9;1.0;0.0;0.0;-5.34;-8.5;3.48;1.0;0.0;0.0
18;08:30;0.67;0.0;0.0;22.14;84.94;46.9;28.14;0.0;0.0;2225.04;-2225.04;-9.46;6604.5;597.0;218.1;0.5;0.0;0.0;-5.84;-8.5;3.39;1.0;0.0;0.0
19;09:00;0.66;0.0;0.0;22.14;84.51;46.61;27.97;0.0;0.0;2301.6;-2301.6;-0.12;6634.3;0.0;310.8;0.0;630000.0;0.0;-6.03;-0.1;3.36;1.0;0.0;0.0
20;09:30;0.0;1.0;0.0;21.66;73.95;46.32;27.79;0.0;0.0;3604.85;-3604.85;-0.18;6174.4;4058.3;604.9;0.0;630000.0;0.0;-5.88;-0.1;3.38;1.0;0.0;0.0
21;10:00;1.0;0.0;0.0;22.0;73.52;46.03;27.62;0.0;0.0;3691.38;-3691.38;7.38;5787.3;0.0;691.4;0.0;630000.0;0.0;-5.63;4.0;3.43;1.0;0.0;0.0
22;10:30;0.0;1.0;0.0;21.58;101.79;45.74;27.44;0.0;0.0;3556.06;-3556.06;7.11;5478.0;0.0;556.1;0.0;630000.0;0.0;-5.28;4.0;3.49;1.0;0.0;0.0
23;11:00;1.0;0.0;0.0;21.99;101.36;45.44;27.27;0.0;0.0;3413.28;-3413.28;14.17;5269.1;0.0;413.3;0.0;630000.0;0.0;-4.98;8.3;3.54;1.0;0.0;0.0
24;11:30;1.0;0.0;0.0;22.41;100.93;45.15;27.09;0.0;0.0;3262.52;-3262.52;13.54;5167.5;0.0;262.5;0.0;630000.0;0.0;-4.73;8.3;3.59;1.0;0.0;0.0
25;12:00;0.2;0.0;0.0;22.21;100.5;44.86;26.92;0.0;0.0;1043.38;-1043.38;3.7;4784.9;0.0;443.4;0.0;630000.0;0.0;-4.58;7.1;3.62;1.0;0.0;0.0
26;12:30;0.38;0.0;0.0;22.21;99.45;44.57;26.74;0.0;0.0;2122.61;-2122.61;7.54;4102.0;64.6;978.7;0.0;630000.0;0.0;-4.53;7.1;3.63;1.0;0.0;0.0
27;13:00;0.37;0.0;0.0;22.21;99.02;44.28;26.57;0.0;0.0;2364.18;-2364.18;-2.01;4005.0;0.0;1251.2;0.0;630000.0;0.0;-4.45;-1.7;3.64;1.0;0.0;0.0
28;13:30;0.42;0.0;0.0;22.21;98.59;43.99;26.39;0.0;0.0;2494.83;-2494.83;-2.12;4534.3;0.0;1242.5;0.0;630000.0;0.0;-4.35;-1.7;3.66;1.0;0.0;0.0
29;14:00;0.44;0.0;0.0;22.21;98.16;43.69;26.22;0.0;0.0;2397.23;-2397.23;-2.04;4794.4;0.0;1080.3;0.0;630000.0;0.0;-4.25;-1.7;3.67;1.0;0.0;0.0
30;14:30;0.43;0.0;0.0;22.21;97.73;43.4;26.04;0.0;0.0;2056.86;-2056.86;-1.75;4766.7;0.0;753.8;0.0;630000.0;0.0;-4.15;-1.7;3.69;1.0;0.0;0.0
31;15:00;0.43;0.0;0.0;22.21;97.3;43.11;25.87;0.0;0.0;1885.72;-1885.72;-3.21;4767.4;0.0;587.3;0.0;630000.0;0.0;-4.08;-3.4;3.71;1.01;0.0;0.0
32;15:30;0.43;0.0;0.0;22.21;96.87;42.82;25.69;0.0;0.0;1895.35;-1895.35;-3.22;4798.7;0.0;591.7;0.0;630000.0;0.0;-4.03;-3.4;3.72;1.02;0.0;0.0
33;16:00;0.44;0.0;0.0;22.21;96.44;42.53;25.52;0.0;0.0;1894.63;-1894.63;-0.95;4847.0;0.0;582.6;0.0;630000.0;0.0;-3.95;-1.0;3.73;1.03;0.0;0.0
34;16:30;0.44;0.0;0.0;22.21;96.01;42.24;25.34;0.0;0.0;1882.81;-1882.81;-0.94;4913.7;0.0;559.3;0.0;630000.0;0.0;-3.85;-1.0;3.75;1.05;0.0;0.0
35;17:00;0.44;0.0;0.0;22.21;95.58;41.94;25.17;0.0;0.0;2010.0;-2010.0;11.96;4918.8;0.0;688.4;0.0;630000.0;0.0;-3.8;11.9;3.76;1.06;0.0;0.0
36;17:30;0.44;0.0;0.0;22.21;95.15;41.65;24.99;0.0;0.0;2285.89;-2285.89;13.6;4858.3;0.0;980.4;0.0;630000.0;0.0;-3.8;11.9;3.76;1.06;0.0;0.0
37;18:00;0.43;0.0;0.0;22.21;94.72;41.36;24.82;0.0;0.0;2511.0;-2511.0;12.3;4803.2;0.0;1215.7;0.0;630000.0;0.0;-3.87;9.8;3.74;1.04;0.0;0.0
38;18:30;0.43;0.0;0.0;22.21;90.66;41.07;24.64;0.0;0.0;2681.82;-2681.82;13.14;4753.8;378.8;1390.4;0.0;630000.0;0.0;-4.02;9.8;3.72;1.02;0.0;0.0
39;19:00;0.0;0.0;94.0;21.84;90.23;41.1;24.66;0.0;0.0;1340.58;-1340.58;8.91;4800.4;0.0;1246.6;0.5;0.0;0.0;-3.91;13.3;3.74;1.04;0.0;0.0
40;19:30;0.0;0.0;0.0;21.46;89.8;41.1;24.66;0.0;0.0;762.29;-762.29;5.07;4949.7;0.0;762.3;1.0;0.0;0.04;-3.51;13.3;3.81;1.11;0.0;0.0
41;20:00;0.42;0.0;0.0;21.46;87.15;41.1;24.66;0.0;0.0;1801.49;-1801.49;7.21;4827.6;232.2;551.5;1.0;0.0;0.04;-3.01;8.0;3.9;1.2;0.0;0.0
